stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,4,0,0,0,0,0,0,0,13,0,0,5,6,0,0,0,1,5,1,0,0
 24-34,3.28,0.82,0,0.82,0,0,0,0,15.6,0,0,1.64,8.21,0,0.82,0,0,0.82,0.82,0,0
 36-46,0,0.81,0,0.81,0,0,0,1.61,25.78,0,0,1.61,5.64,0,0,0,0,0,0.81,0,0
 48-58,1.72,1.15,0,0,0,0,0,1.72,74.02,0,0,3.44,13.2,0,2.3,0,0,0,1.72,0,0
 60-70,0.98,1.96,0,0,0,0,0,0.98,144.28,0,0,4.91,12.76,0,0.98,0.98,0,0,0,0.98,0
 72-82,1.96,6.87,0.98,2.94,1.96,0,0,0.98,218.91,0,0.98,3.93,14.72,0,6.87,3.93,0,0,0.98,0,4.91
 84-94,7.43,5.31,0,2.12,1.06,0,1.06,4.25,141.25,0,0,2.12,6.37,1.06,5.31,6.37,0,0,0,0,0
 96-106,3.28,7.65,2.19,1.09,2.19,0,0,12.02,154.09,0,0,4.37,13.11,0,16.39,8.74,0,0,0,1.09,2.19
108-118,3.06,2.3,0,3.83,1.53,0.77,0,8.43,131.75,0.77,0.77,6.89,12.26,0,13.79,6.89,0,0,0,0,1.53
120,3.92,1.96,0,0,1.96,0,0,7.84,64.67,0,0,3.92,9.8,0,3.92,3.92,0,0,1.96,0,1.96
