stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,3.28,0,0,0.82,6.57,0,0,0,0,0,0,3.28,0,0,2.46,0,1.64
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0.81,4.03,0,0,0,0,0,0,2.42,0,0,0.81,0,6.45
 48-58,0,0,0,0,0,0,0.57,0,0,6.89,0,0,0,0,0,0.57,0.57,0,0,0.57,5.16,0,0,0,0,0,0,1.15,0,0,1.15,0,9.75
 60-70,0,0,0,0.98,0,0,0,0,0,41.22,0,0,0,0,0,0,4.91,0,0,0.98,2.94,0,0,0,0,0,0.98,0,0,0,0,0,14.72
 72-82,0,0,0,0.98,0,0,8.83,0,0,192.41,0,0,0.98,0.98,0,0,11.78,0,0.98,0.98,5.89,0,0,0,0,0,0,0.98,0,0.98,1.96,0,12.76
 84-94,0,0,0,1.06,0,0,6.37,0,0,127.44,0,0,0,0,0,0,5.31,0,0,1.06,5.31,0,0,0,1.06,0,0,1.06,0,0,2.12,0,11.68
 96-106,0,0,0,5.46,0,1.09,16.39,1.09,0,256.82,1.09,0,3.28,0,1.09,3.28,8.74,0,0,0,17.49,0,1.09,0,2.19,0,0,0,1.09,0,2.19,0,8.74
108-118,0,0,0,0.77,0,0,4.6,0,0,242.81,0,0,2.3,0.77,0,0,3.06,0.77,0,0,11.49,0,0,0,2.3,0,0,0.77,0,0,0.77,0.77,19.92
120,0,0,0,0,0,0,7.84,0,1.96,209.7,0,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,1.96,0,0,3.92,0,0,0,0,7.84
