stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,22.03,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,6,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,14,1,0,0,0,0,0,1,0,3,8,0,0,0
 24-34,0,0,0,0.82,0,0,6.57,0,0,0,1.64,0,0,0,0,0.82,2.46,0,0,2.46,45.15,0,0,0.82,0,0,0,0,0,0,9.03,0,0,0.82
 36-46,0,0,0,0.81,0,0,11.28,0,0,0,1.61,0,0,0,0,0,6.45,0.81,0,1.61,44.31,0,0,0,0,0,0,0,0,0,9.67,0,0,4.83
 48-58,0,0,0,0.57,0,0,22.95,0,0.57,0.57,4.59,0,0,0,0,0,2.87,0,0,1.72,37.87,0,0.57,0.57,0,0.57,0,0,0,0,8.61,0,0.57,0.57
 60-70,0,0,0,0,0,0,23.56,0,0,0,1.96,0,0,0,0,0,4.91,0,0.98,0.98,33.37,0,0,0,0,0.98,0,0,0,0,3.93,0,0,1.96
 72-82,0,0,0,0,0,0,30.43,0,0,0.98,6.87,0,0,0,0,0,4.91,0,0,0,33.38,0,0,0,0,0.98,0,0,0,0,0.98,0,0,1.96
 84-94,0,0,0,2.12,0,0,15.93,0,0,0,4.25,0,0,2.12,2.12,0,3.19,0,0,0,21.24,0,0,1.06,0,1.06,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,0,0,16.39,0,0,0,3.28,0,0,2.19,0,1.09,3.28,0,0,0,14.21,0,0,0,0,1.09,0,0,0,0,0,0,0,5.46
108-118,0,0,0,1.53,0.77,0.77,7.66,0.77,0,0,0,0.77,0,0.77,2.3,0,3.06,0,0,0,16.09,0,0,0,0,0.77,0,0,0,0,0.77,0,0,1.53
120,0,0,0,0,0,0,15.68,0,0,0,7.84,0,0,3.92,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0
