stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,15.77,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,9.85,0,0,0,1.64,0.82
 36-46,0,0,0,1.61,0.81,0,0,0.81,0,8.06,0,0,0,0.81,0
 48-58,0,0,0,2.3,0,0.57,0,1.72,0,0.57,0,0,0,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0
