stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,0,0,0,0,0
  7-9,7.89,2.63,15.77,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,128.81,10.51,34.17,2.63,5.26,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,53.5,0,12.59,0,6.29,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
 24-34,0,0,0.82,0,0,11.49,0,0.82,0,0,0.82,0,0,0,0,0,5.75,0,0,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,12.09,0,0.81,0,0,0,1.61,0,0,0,0,5.64,0,0,0.81,0,0,0,2.42,0
 48-58,0,0,0,0,0,12.62,0,0,0,0,0,0.57,0,1.15,0,0,4.59,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,19.63,0,0,0,0,0,0.98,3.93,0,0,0,2.94,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,17.67,0,0.98,0,0,0,0,1.96,0.98,0,0,5.89,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,15.93,0,1.06,1.06,0,0,0,1.06,0,1.06,0,2.12,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,6.56,0,1.09,0,0,0,0,0,1.09,0,1.09,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,10.72,0.77,0,0,0,0,3.83,2.3,0,0,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,0,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0
