stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,3,1,2,2,0,0,0
 24-34,0,0,0,0,2.46,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,8.21,0,0,0,0,0.82,13.95,0,0,0
 36-46,0,0,0,0,0.81,0,33.84,0,0,0,0.81,0,0,0,0,0.81,0,1.61,0,0,0,24.98,0,4.83,0,0.81,0.81,0,0,5.64,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,95.25,0,0,0.57,2.3,0,0.57,0,0,1.72,0,1.15,0.57,0,1.15,26.97,0,8.03,0,0.57,0,0,0,6.31,0,0,0
 60-70,0,0,0,0,0,0,205.14,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0.98,0,34.35,0,17.67,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0.98,0,1.96,1.96,398.55,0,0.98,0.98,9.82,0.98,0,0,0,7.85,0.98,5.89,0,0,0,56.94,0,39.27,0,0,0,0,0,3.93,0.98,0,0
 84-94,0,0,0,0,5.31,0,189.04,0,0,2.12,11.68,0,0,1.06,0,8.5,0,6.37,0,0,0,43.54,0,62.66,0,1.06,1.06,0,0,2.12,1.06,1.06,0
 96-106,0,0,1.09,0,2.19,0,212.01,0,0,0,4.37,0,0,0,0,13.11,0,6.56,0,0,0,29.51,0,66.66,0,2.19,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0,3.06,0,134.04,0,0,0.77,5.36,1.53,0.77,0.77,0.77,6.89,0.77,6.89,0,0,1.53,27.57,0.77,53.62,0,2.3,0.77,0,0,1.53,0,0.77,0
120,0,0,0,0,0,0,92.11,1.96,0,0,7.84,0,0,0,0,7.84,0,7.84,0,0,0,39.2,0,60.75,0,0,0,0,0,0,0,0,0
