stage,blastomeres,erythrocytes,eye,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,pronephros,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,1,1,0,0,4,0
 24-34,0,0,0,0,0,0,0,0,2.46,0.82,3.28,0,31.19,2.46
 36-46,0,0,1.61,0,0,0,0,0,2.42,0,4.83,0,8.06,2.42
 48-58,0,0,1.72,1.15,0,0,0,0.57,1.72,0,5.74,0,12.05,1.15
 60-70,0,0,2.94,0,0,0,0,0,2.94,0,2.94,0,10.8,0.98
 72-82,0,0,1.96,0,1.96,0,0,0,3.93,0.98,6.87,0,14.72,0
 84-94,0,0,3.19,0,1.06,0,0,0,0,0,1.06,0,28.68,0
 96-106,0,0,3.28,0,8.74,0,1.09,1.09,2.19,0,1.09,0,20.76,0
108-118,0,0,0.77,0,13.02,0.77,0,0,0.77,0,3.83,0.77,12.26,0
120,0,0,5.88,0,13.72,0,0,0,0,0,1.96,0,7.84,0
