stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,7,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,59.92,1.64,0,0,0.82,4.1,28.73,0,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,101.51,0,0,0,0,0,41.09,0,0.81
 48-58,0,0,0,2.3,0,8.03,0,0,3.44,0,0,0,0,0,1.15,0,0.57,188.21,1.15,0.57,0,0.57,0,33.85,0.57,0
 60-70,0,0,0.98,2.94,0,16.69,0,0,10.8,0,0,0,0,0.98,3.93,0,0,344.51,0,0,0,0,0,25.52,0,0
 72-82,0,0,2.94,2.94,0,19.63,0.98,0.98,24.54,0,0.98,0,0,0,2.94,0.98,0,382.85,0,0,0,0,0,23.56,2.94,0
 84-94,0,0,2.12,6.37,1.06,18.05,0,0,12.74,0,0,0,0,0,2.12,0,0,168.86,0,0,0,1.06,0,14.87,0,0
 96-106,0,0,1.09,5.46,1.09,21.86,0,0,17.49,0,0,1.09,0,0,4.37,0,0,175.95,1.09,2.19,0,0,0,9.84,1.09,0
108-118,0,0,0.77,3.06,0.77,16.85,1.53,0,9.96,0,0,0,0.77,0,2.3,0,0,206.81,1.53,0,0,0,0,3.06,0,0
120,0,0,1.96,5.88,1.96,7.84,1.96,0,7.84,0,0,0,1.96,0,0,0,0,176.38,0,0,0,0,0,5.88,0,0
