stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,1
 24-34,0,0.82,0,0,0,0,0,0,0,0,45.15,0,0,0,0,13.13
 36-46,0,0,0,2.42,0,2.42,0,0,0,0,139.38,0,0,0,0,30.62
 48-58,0,0,0,10.33,0,5.16,0,0,0,0.57,149.19,0,0,0,0,25.82
 60-70,0,0,0,41.22,0.98,2.94,0,0,1.96,0,221.82,0,0,0,0,29.45
 72-82,0,0.98,0,17.67,0,0,0,0,0.98,0,73.62,0,0,0,0,9.82
 84-94,0,0,0,16.99,0,4.25,0,0,1.06,0,61.6,0,0,0,0,5.31
 96-106,0,1.09,0,5.46,0,1.09,0,0,1.09,0,37.16,0,0,0,0,1.09
108-118,0,0,0,7.66,0,2.3,0.77,0,0,0,37.53,0,0.77,0,0,1.53
120,0,0,0,3.92,0,3.92,0,0,0,1.96,33.32,0,0,0,0,0
