stage,epidermis,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,1.72,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,8.83,0,5.89,0,0,0,1.96,0,0.98,0,0,0.98,0
 84-94,0,1.06,0,0,19.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,16.39,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0.77,0,0,0,13.79,0.77,2.3,0.77,0.77,0,0.77,0,0,0,0,0,0.77
120,0,0,3.92,0,5.88,0,0,0,0,0,5.88,0,0,0,0,0,0
