stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,2,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,5.16,1.15,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,2.94,0,6.87,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,0,6.87,0.98,7.85,2.94,0,0,0,0.98,0,0,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,1.06,1.06,0,5.31,2.12,6.37,2.12,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,4.37,1.09,5.46,4.37,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,6.89,0.77,7.66,1.53,0,0.77,0,0.77,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,1.96,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0
