stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,7.39,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,1.61,8.06,0,0.81,0,0,0,4.03,0.81
 48-58,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,2.3,0,5.16,0,0,0,0,0,2.3,0
 60-70,0,0.98,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,0.98,0,4.91,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,2.94,0,0,0,0.98,0,0,0.98,0,0.98,5.89,0,1.96,0,0,1.96,0,0,0.98,0
 84-94,0,0,1.06,2.12,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,1.09,0,1.09,0,1.09,0,5.46,1.09,5.46,0,2.19,0,0,4.37,0,0
108-118,0,0,0.77,0.77,0,0.77,0,0,3.06,0,0,0,0,0,1.53,0,1.53,0,0,0,0,0.77,0,0.77
120,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96
