stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,2,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,1.64,0,0,27.91,3.28,0,0,0.82,0.82,0,0,0.82,22.98,0,4.93,0,0,0,0.82,0.82,0,0,11.49,0,3.28,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,1.61,0,0,0.81,45.12,1.61,0,0.81,0,0.81,0,0.81,0.81,29,0,3.22,1.61,0,0,4.83,0,0,0,13.7,0,0.81,0,0
 48-58,0,0,0,0,0,11.48,0.57,0,3.44,0,0.57,0,44.18,0,0,0.57,0,4.59,0,0,0,24.67,0,4.02,0,0,0,1.72,0,0,0,7.46,0,0.57,0,1.15
 60-70,0,0.98,0,2.94,0,42.21,0,0,8.83,1.96,0,0.98,32.39,1.96,0,1.96,0.98,2.94,0.98,0,0,43.19,0,6.87,2.94,0,0,6.87,0.98,0,0,0.98,0.98,0.98,0,0.98
 72-82,0,2.94,0.98,1.96,0.98,34.36,0,0.98,6.87,12.76,0,0.98,53.01,0,0,5.89,0.98,3.93,0,0,0,58.9,0,7.85,3.93,0,0,6.87,0,0,0,5.89,11.78,0.98,0,0
 84-94,0,3.19,0,5.31,1.06,27.61,1.06,1.06,6.37,14.87,0,0,74.34,3.19,1.06,2.12,2.12,4.25,2.12,1.06,1.06,31.86,0,4.25,15.93,0,1.06,32.92,2.12,0,0,4.25,15.93,2.12,0,0
 96-106,0,2.19,0,7.65,2.19,28.41,1.09,1.09,8.74,36.06,1.09,0,88.52,2.19,0,5.46,0,6.56,2.19,0,2.19,18.58,0,13.11,12.02,0,0,32.79,0,0,0,3.28,18.58,3.28,1.09,0
108-118,0,0.77,0,8.43,1.53,29.87,0,0.77,6.89,39.83,0,0,75.06,5.36,0,4.6,5.36,4.6,0,1.53,0.77,32.94,0.77,7.66,12.26,0,0,17.62,2.3,0.77,0,0,17.62,1.53,0,0.77
120,0,0,0,9.8,0,15.68,1.96,0,1.96,25.48,0,1.96,88.19,3.92,0,3.92,0,5.88,1.96,0,0,33.32,0,5.88,0,0,0,15.68,3.92,0,0,0,13.72,5.88,0,0
