stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,4,0,0,0,0,0
 24-34,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,40.22,0,0,0,0,0,12.31,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,0,0.81,0,0.81,0,0,0,0,0,1.61,1.61,0,0,0,111.99,0,0,0,0,0,33.84,0,0,0.81,0,0
 48-58,0,0,0,0,35,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,141.16,0,0,0,0,0,16.07,0,0,0,0,0
 60-70,0,0.98,0,0,428.93,0,0,0,7.85,0,0,0,0,0.98,0,0,1.96,2.94,0,0,0,284.64,0,0,0,1.96,0,13.74,0,0.98,0,0,0
 72-82,0.98,5.89,0.98,0,1112.22,0,1.96,1.96,43.19,0.98,0.98,0,0,0,0,0,0,10.8,0,0,1.96,362.23,1.96,0,0.98,0,0,15.71,0,0,0.98,0.98,1.96
 84-94,0,8.5,0,0,609.61,0,1.06,0,44.61,0,1.06,0,1.06,0,1.06,0,1.06,7.43,1.06,1.06,2.12,151.87,1.06,0,0,2.12,0,5.31,0,1.06,1.06,1.06,0
 96-106,0,6.56,1.09,0,705.98,0,1.09,1.09,22.95,0,1.09,1.09,0,1.09,0,1.09,0,6.56,0,0,0,173.76,1.09,0,2.19,2.19,1.09,4.37,1.09,0,0,1.09,0
108-118,0,5.36,0.77,0.77,427.41,0,1.53,0.77,15.32,0.77,0,0.77,0,0,0,0.77,0,3.83,0,0.77,0,172.34,1.53,0,0,2.3,0,3.06,0,0.77,2.3,0.77,0.77
120,0,5.88,0,0,288.09,1.96,1.96,1.96,27.44,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,199.9,1.96,0,0,1.96,0,1.96,0,0,1.96,0,1.96
