stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,42,0,0,0,1,0,0,1,4,0,1,4,25,0,0,0,0,0
 24-34,0.82,4.1,0.82,2.46,0,0,0,0.82,0,0.82,0,0,0,0,0,0,3.28,0,0,0,362.82,0,1.64,0,0,0,0.82,0,0,0,0,1.64,105.89,0,0,0,0,0
 36-46,0,0.81,0,16.11,0,0.81,0,2.42,0,0,0,0,0,0,0,0,2.42,0,0,0,1138.41,0,6.45,0.81,0,0,0,0,0,0,0,0,213.5,0,0,0,0,0
 48-58,0,2.87,0.57,135.42,0,0.57,1.15,16.07,0,0.57,0.57,0,0,0.57,0.57,1.15,19.51,0,0,1.72,1848.23,1.72,3.44,1.15,0,0,2.87,0,0,0,0,0,275.43,0,0,2.3,0,2.3
 60-70,0,4.91,0.98,550.63,0.98,1.96,0,16.69,0,0,2.94,0,0,0,0,0,19.63,0,0.98,2.94,3359.75,0.98,7.85,0.98,0,0,3.93,0,0,0.98,0,0,395.55,0,0,0,0,0.98
 72-82,0.98,12.76,7.85,811.83,0.98,3.93,2.94,59.88,0.98,1.96,3.93,0,0,1.96,0,0,53.01,0.98,2.94,5.89,2782.03,0,10.8,2.94,0,1.96,4.91,0,0,0,0,0,226.76,0,0.98,2.94,0,3.93
 84-94,1.06,20.18,4.25,420.57,0,1.06,1.06,47.79,1.06,1.06,4.25,1.06,1.06,1.06,0,3.19,33.99,0,1.06,2.12,1324.36,0,5.31,1.06,0,0,4.25,0,0,0,1.06,0,137,0,0,3.19,6.37,3.19
 96-106,0,19.67,4.37,405.45,2.19,2.19,1.09,50.27,3.28,2.19,1.09,0,2.19,1.09,1.09,2.19,33.88,2.19,0,4.37,1067.71,0,12.02,2.19,0,0,9.84,0,0,0,0,0,57.92,2.19,0,2.19,2.19,2.19
108-118,0,13.79,1.53,239.75,0.77,0.77,0.77,42.13,1.53,0,3.83,0.77,0.77,0,0.77,0,20.68,1.53,2.3,3.06,1321.29,0,9.19,0,0,0,3.06,0,0,0,0,0,47.49,1.53,0,1.53,1.53,0.77
120,0,13.72,1.96,199.9,0,1.96,0,39.2,3.92,1.96,1.96,0,1.96,0,0,0,25.48,0,0,3.92,1230.75,1.96,7.84,0,0,0,5.88,0,0,0,0,0,58.79,0,0,0,0,0
