stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,24,338,0,0,0,2,1,1,0,5,6,0,0,0,0,0
 24-34,0.82,0,10.67,1.64,0,22.16,0,0,0.82,4.1,1.64,0.82,1.64,3.28,1.64,0,1.64,3.28,0,23.8,0,0,14.78,226.56,310.28,0.82,1.64,0,16.42,0,1.64,1.64,4.1,27.91,0,0,4.93,0,1.64
 36-46,0,0,4.83,0,0,25.78,1.61,0.81,0.81,7.25,0,0,0.81,0.81,0,0,0,0.81,1.61,16.11,0,0,8.86,185.3,299.71,2.42,0,0,8.86,0,0,0,0,38.67,0,0,5.64,0,0.81
 48-58,1.72,0,3.44,0,0,78.61,2.3,1.72,1.72,24.1,0,0.57,0.57,2.3,0.57,1.15,0,0,1.15,34.43,0,1.15,6.89,184.77,243.29,1.72,2.3,0,4.59,0,0,0.57,0,46.48,0,1.15,1.15,0,5.74
 60-70,2.94,0,5.89,2.94,0,66.74,0,0,3.93,6.87,0,0,0,2.94,0,0.98,0.98,0,0,21.59,0,0.98,2.94,114.84,173.73,0,2.94,0,4.91,0,0,0.98,0,21.59,0,0,0.98,0,4.91
 72-82,0,0,2.94,2.94,0,48.1,0.98,1.96,0.98,17.67,0.98,0.98,0,5.89,0,0,0.98,0,0,38.28,0,0,5.89,91.29,115.84,2.94,0.98,0,5.89,0,0,0,0,9.82,0,0,3.93,0,5.89
 84-94,1.06,0,5.31,5.31,0,39.3,0,2.12,1.06,14.87,2.12,0,0,4.25,2.12,1.06,0,0,0,15.93,1.06,1.06,5.31,41.42,175.24,0,0,0,13.81,0,0,0,0,3.19,1.06,4.25,2.12,2.12,1.06
 96-106,2.19,0,5.46,10.93,1.09,32.79,1.09,1.09,0,15.3,2.19,0,0,8.74,0,0,4.37,5.46,0,32.79,0,0,8.74,54.64,136.61,0,1.09,1.09,15.3,0,1.09,0,0,1.09,1.09,1.09,7.65,2.19,1.09
108-118,3.83,0.77,9.19,6.89,0.77,32.94,0.77,3.06,0.77,18.38,4.6,0,1.53,9.19,0,1.53,0.77,5.36,0.77,47.49,0.77,2.3,4.6,108,164.68,2.3,3.06,0.77,13.02,0,0,0,0,4.6,0,1.53,6.89,1.53,2.3
120,5.88,0,9.8,11.76,3.92,31.36,0,1.96,1.96,21.56,5.88,1.96,0,5.88,1.96,0,1.96,3.92,0,27.44,0,3.92,9.8,88.19,286.13,0,1.96,0,11.76,0,1.96,1.96,0,1.96,0,0,0,1.96,5.88
