stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,somites,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,3.15,3.15,3.15,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,4,0,1,2
 24-34,0,0,0,0.82,0.82,0,0,0,0.82,0,0,11.49,0,0,3.28
 36-46,0,0,0,1.61,0,0,0,0,1.61,0,0,7.25,0,0,0
 48-58,0,0,0,1.72,0.57,0,0,0,0,0,0.57,3.44,0,0,1.72
 60-70,0,0.98,0,1.96,0.98,0.98,0.98,0,0.98,0,0,5.89,0,0,0
 72-82,0,0,0,1.96,1.96,0,0,0.98,0.98,0,0.98,5.89,0,0,0.98
 84-94,0,0,0,4.25,0,0,0,0,0,1.06,0,2.12,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,3.28,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
