stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,3,0,5,0,0,0,1,0,0,0,0,0,0,5,0,0,1,83,0,0,0,3,0,0,0,4,2,4,0,0,2,0,0
 24-34,0,0,0,0.82,0.82,0,0,27.91,0,0,0.82,0,0.82,0,0,0,0,0,29.55,0,0,6.57,195.36,0,1.64,4.1,0,0,2.46,0,11.49,0,10.67,0,0,6.57,0,0
 36-46,0,0,0,0,2.42,0,0,23.36,0,0,12.09,0,0,0,0,0,0,0,82.98,0,0,8.06,236.06,0,2.42,4.03,0,0,4.83,0,6.45,0,24.98,0,0,3.22,0,0
 48-58,0,0,0,0.57,1.72,0,0,28.12,0,2.3,28.69,0,0,0.57,0,0,0,0.57,153.78,0.57,0,6.31,169.27,0,1.15,4.02,0,0,0,0,1.15,0,27.54,0,0,1.72,0,0
 60-70,0,0,0.98,0,2.94,0,0,23.56,0,5.89,41.22,1.96,0,0,0,0,0.98,0,266.97,0,0,5.89,172.75,0,0.98,4.91,0,0.98,0,0,2.94,0,11.78,0,3.93,5.89,0,0
 72-82,0,0,2.94,0,5.89,0,0.98,67.73,0.98,11.78,65.77,2.94,0,0,0,0.98,0,0,430.95,0,2.94,7.85,122.71,0,2.94,8.83,0,0,0.98,0,2.94,0,3.93,0.98,3.93,16.69,0,0
 84-94,0,0,1.06,0,7.43,2.12,4.25,88.15,0,9.56,40.36,13.81,0,1.06,0,0,0,0,280.38,2.12,1.06,10.62,91.34,0,10.62,16.99,0,0,3.19,0,3.19,0,6.37,1.06,4.25,18.05,0,1.06
 96-106,0,0,5.46,0,6.56,1.09,7.65,109.28,0,4.37,65.57,12.02,0,1.09,1.09,0,0,1.09,252.45,0,0,4.37,75.41,0,16.39,14.21,0,0,4.37,1.09,7.65,0,3.28,6.56,5.46,14.21,1.09,1.09
108-118,0,0,0.77,0,5.36,1.53,20.68,124.09,0,9.96,49.79,7.66,0,0.77,0,0,0,0.77,221.36,0,0.77,5.36,92.68,0.77,14.55,20.68,0,0,7.66,0,4.6,0,1.53,6.89,2.3,15.32,0,0.77
120,0,0,0,0,3.92,1.96,7.84,58.79,0,5.88,33.32,7.84,0,0,0,0,0,3.92,215.58,0,0,1.96,84.27,1.96,13.72,15.68,0,0,9.8,0,0,0,5.88,1.96,1.96,19.6,0,0
