stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mucous,neural,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0.57,0,1.15,0,0,0,0,2.87,0.57,0
 60-70,0,0,0,1.96,0,0,0,0.98,0.98,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0
