stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,4,1,0,0,1,14,0,0,5,0,0
 24-34,0,1.64,0,3.28,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,482.66,0,81.26,2.46,0,0.82,0,75.52,0,0,30.37,0,0
 36-46,0,0,0,0,0.81,0,6.45,0.81,0,4.83,0,0.81,0,0,0,0,0,0,0,6.45,0,0,0.81,636.48,0,107.15,8.86,0,3.22,0,107.15,0,0,9.67,0,0
 48-58,0,0,0,1.15,0.57,0,45.9,1.15,0,6.89,0,0,0,1.15,0,0,0,0.57,0,8.03,0.57,0,0.57,580.12,0,72.3,6.31,0.57,1.15,0.57,106.73,0,0,3.44,0,0.57
 60-70,0,0,0,0.98,0.98,0,175.69,0,1.96,27.48,0.98,0,0.98,0.98,0,0,0,0,0,13.74,0,0,0,736.14,0,75.58,6.87,0,0,0.98,103.06,2.94,0.98,2.94,0,0.98
 72-82,0,1.96,0,6.87,0.98,0,226.76,0,2.94,41.23,0,0,0.98,0,0.98,0,0,0,0,30.43,0,0,0,753.92,0,141.36,15.71,0,1.96,0,53.01,9.82,0,9.82,0,0.98
 84-94,0,0,1.06,5.31,0,0,164.62,0,0,25.49,1.06,0,0,1.06,0,2.12,0,0,0,27.61,0,3.19,2.12,395.08,0,160.37,12.74,0,4.25,0,31.86,16.99,1.06,9.56,1.06,1.06
 96-106,0,0,0,9.84,0,0,181.41,1.09,2.19,36.06,1.09,0,0,2.19,0,0,2.19,2.19,0,20.76,2.19,0,1.09,333.32,0,236.05,7.65,0,4.37,0,18.58,25.14,1.09,8.74,2.19,1.09
108-118,0,0.77,0,2.3,0.77,0.77,102.64,0,0,22.21,3.06,0,0,1.53,0.77,0,0,0,0.77,14.55,0,0,1.53,389.88,0.77,152.43,6.13,0,2.3,0,9.96,26.04,0,3.83,0.77,0.77
120,0,0,0,15.68,0,0,96.03,0,0,23.52,3.92,0,0,0,3.92,1.96,0,0,0,15.68,0,1.96,0,431.15,0,119.55,9.8,0,5.88,1.96,17.64,3.92,0,7.84,0,0
