stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,10.51,0,0,15.77,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,139.32,13.14,0,0,47.32,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,3.15,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,270.64,9.44,0,0,100.7,0,3.15,9.44,0,22.03,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,4,34,8,16,0,0,0,6,3,1,1,0,2,1,0,2,10,21,0,0,10,208,12,1,2,4,0,4,3,31,5,1,31,85,0,0,5,0,12
 24-34,0,0,0.82,2.46,12.31,1.64,52.53,0,4.1,1.64,9.85,3.28,1.64,1.64,1.64,1.64,2.46,0.82,2.46,16.42,33.66,0.82,0,20.52,409.61,2.46,9.03,4.93,0,0,13.13,0,2.46,3.28,0.82,5.75,103.43,0,0,26.27,0,19.7
 36-46,0,0,0,0,3.22,0.81,76.54,0,0.81,0.81,18.53,1.61,0,0,4.03,0,3.22,0.81,0,8.86,33.03,0.81,0,10.47,432.64,0.81,9.67,1.61,0,0,8.86,0,0,4.03,0,0,93.46,0,0,8.06,0,10.47
 48-58,0,0,0,0.57,4.02,0.57,117.06,0,1.15,1.72,33.85,0.57,1.15,0.57,2.3,0,4.02,0.57,0.57,4.02,52.79,0.57,0,9.18,388.47,1.72,1.15,1.72,0,0,3.44,0,0,0,0.57,0,88.37,0,1.15,5.16,0,8.61
 60-70,0,0,0,0,7.85,0.98,224.77,0.98,0.98,5.89,64.78,0,0.98,0.98,2.94,0,11.78,1.96,0.98,1.96,93.24,2.94,0,10.8,461.32,0.98,4.91,3.93,0,0.98,9.82,0,0,0.98,0.98,0,82.45,0,0,3.93,0,4.91
 72-82,0,0,1.96,0,10.8,7.85,193.39,0,0.98,6.87,116.82,0.98,0,1.96,12.76,0,7.85,1.96,0.98,3.93,120.74,3.93,0.98,14.72,349.47,0.98,13.74,3.93,0,0.98,4.91,0,0,2.94,0,0,30.43,1.96,3.93,9.82,2.94,8.83
 84-94,0,0,1.06,0,13.81,9.56,154,0,4.25,2.12,65.85,4.25,3.19,0,13.81,6.37,10.62,3.19,1.06,3.19,88.15,4.25,1.06,9.56,190.1,3.19,8.5,7.43,0,3.19,45.67,0,0,5.31,1.06,0,18.05,1.06,8.5,9.56,5.31,7.43
 96-106,0,0,3.28,0,12.02,20.76,116.93,0,3.28,1.09,76.5,5.46,1.09,5.46,18.58,7.65,14.21,1.09,1.09,6.56,93.98,4.37,4.37,7.65,182.51,2.19,16.39,5.46,0,1.09,33.88,0,0,5.46,0,0,17.49,6.56,3.28,15.3,5.46,14.21
108-118,0,0,0.77,0,25.28,4.6,96.51,0,5.36,3.06,66.64,6.13,0,0.77,13.79,6.13,19.15,2.3,0.77,4.6,72,3.06,2.3,9.19,244.34,4.6,6.89,9.96,0,0,30.64,0,0,0.77,0,0,11.49,5.36,3.83,13.79,3.83,8.43
120,0,0,1.96,0,13.72,5.88,60.75,3.92,7.84,0,29.4,7.84,0,0,15.68,0,3.92,1.96,0,1.96,58.79,1.96,3.92,5.88,184.22,0,1.96,1.96,0,0,29.4,0,0,1.96,0,0,5.88,0,1.96,13.72,0,0
