stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,2218.93,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,6.13,0,91.94,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,47.32,0,81.49,0,0,0,149.84,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,1232.87,55.2,0,0,415.34,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,62.94,0,6.29,0,144.76,0,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,1101.44,47.2,0,0,229.73,0,0,0,0,28.32,0,0,0,0,0,0,0
 14-21,0,0,0,2,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,50,4,0,2,1,0,3,0,3,0,0,2,17,0,0,0,0
 24-34,0,0,0,0.82,5.75,0.82,0,0,0,0,2.46,0,0,0,2.46,9.85,0,0.82,0.82,0,5.75,0.82,0,3.28,33.66,0.82,7.39,1.64,0,0,4.93,0,0,1.64,0,0.82,9.03,0,0.82,0,0.82
 36-46,0,0,0,0,2.42,20.95,0,4.83,0,0,1.61,0,0,0.81,11.28,16.11,0,0,0,0,8.06,0,0,3.22,49.95,0,14.5,0.81,0,0,6.45,0,0,0,0,0,16.11,0,0,0,3.22
 48-58,0,0,0,0,4.02,2.3,0,8.03,0,0,1.72,0,0,0,7.46,11.48,0,0,0.57,0.57,4.02,1.72,0,0.57,18.36,0,4.59,1.15,0,0,2.3,0,0,0,0,0,8.03,0,0,0,4.59
 60-70,0,0,0,0,5.89,0,0,9.82,0.98,0,2.94,0,0,0.98,10.8,10.8,0,0.98,0,0,7.85,0,0,0,23.56,0,1.96,0.98,0,0,2.94,0,0,0,0,0,9.82,0,0.98,0,0
 72-82,0,0,0.98,0,4.91,1.96,0,11.78,0,1.96,4.91,0,0,0,8.83,21.6,0,0,0.98,0,8.83,0.98,0,0.98,14.72,0,3.93,0,0,0,5.89,0,0,0,0.98,0,2.94,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,18.05,2.12,0,7.43,1.06,1.06,6.37,0,0,0,9.56,42.48,0,0,0,0,8.5,1.06,0,1.06,12.74,0,3.19,0,0,0,11.68,0,0,1.06,0,0,1.06,0,4.25,0,0
 96-106,0,0,0,0,32.79,7.65,0,16.39,2.19,2.19,6.56,4.37,0,1.09,3.28,54.64,1.09,3.28,1.09,0,17.49,2.19,0,3.28,34.97,1.09,10.93,4.37,0,1.09,20.76,0,0,0,0,0,2.19,1.09,3.28,1.09,1.09
108-118,0,0,0,0,28.34,4.6,1.53,9.96,3.06,2.3,6.13,1.53,0,0,17.62,74.3,0,0.77,0.77,0,13.02,6.13,0.77,3.83,29.87,0,3.83,1.53,0,0,10.72,0,0,0,0,0,0.77,1.53,0,0,2.3
120,0,0,0,0,35.28,0,0,5.88,5.88,1.96,0,1.96,0,0,9.8,37.24,1.96,0,0,0,7.84,0,0,3.92,21.56,0,3.92,0,0,0,13.72,0,0,0,1.96,0,0,1.96,0,0,1.96
