stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,3531.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1501.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,26.29,26.29,0,0,0,60.46,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,562.54,15.77,0,0,184.01,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,15.73,0,0,0,62.94,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,450.02,25.18,0,0,188.82,3.15,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,1,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,5,50,1,0,0,0,1,0,15,0,1,9,11,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,19.7,0,0,0.82,2.46,0,0,0,0.82,1.64,0,2.46,0,0.82,13.95,0,0,6.57,132.98,0,2.46,4.93,0,5.75,0,0,0.82,0.82,4.93,24.63,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,46.73,0,0,2.42,8.86,0,0,0.81,0,0,0,0,0.81,0.81,31.42,0,0,9.67,242.51,0,1.61,1.61,0,5.64,0,0,0,0,0,53.98,0,0,2.42,0,0
 48-58,0,0,0,1.72,0.57,0,55.09,0,0,0.57,9.18,0,0,0.57,0,0,0,0,0,1.15,26.97,0,0.57,4.02,83.2,1.15,0.57,0,0,1.72,0,0,0.57,0,0,20.08,0,0,2.3,0,1.15
 60-70,0,0,0,1.96,0,0,101.1,0,1.96,0.98,13.74,0,0.98,0,0.98,0,0.98,0.98,0,0,49.08,0,0.98,2.94,104.04,0,0.98,2.94,0,1.96,0,0,0,0.98,0,7.85,0,0.98,0,0,0.98
 72-82,0,0,0,1.96,1.96,0,26.5,0,1.96,0,7.85,0,0,0.98,0.98,0.98,0,0,0,0,14.72,0.98,1.96,2.94,47.12,0.98,0,0.98,0,3.93,0,0,0,0,0,0.98,0,0,2.94,0,0
 84-94,0,0,0,2.12,2.12,0,40.36,0,1.06,2.12,10.62,0,0,0,0,2.12,0,0,1.06,0,22.3,0,0,3.19,31.86,2.12,2.12,2.12,0,6.37,0,0,0,0,0,3.19,0,1.06,1.06,0,1.06
 96-106,0,0,0,5.46,4.37,0,10.93,0,0,1.09,6.56,1.09,0,0,2.19,0,0,0,4.37,0,15.3,2.19,0,0,24.04,0,2.19,1.09,0,7.65,0,0,0,0,0,1.09,1.09,0,2.19,1.09,0
108-118,0,0,0,3.06,0.77,0.77,9.96,0,0.77,1.53,5.36,0.77,0,0,0,0,1.53,0.77,3.06,0,6.89,0,0,5.36,11.49,0.77,0,0.77,0,13.02,0,0,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,5.88,1.96,0,7.84,1.96,3.92,0,7.84,1.96,0,0,0,3.92,0,0,0,0,5.88,0,0,0,21.56,0,0,0,0,9.8,0,0,0,0,0,1.96,0,0,0,0,0
