stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,14.78,0,0.82,0,0,0,0,0.82,0,1.64,0,0,0.82,0,4.1,0.82,0,0.82,25.45,0,2.46,1.64,0,2.46,0,0,0,0,8.21,0,1.64,0,0
 36-46,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,6.45,0,0,0,16.11,0,0.81,0.81,0,1.61,0,0,0,0,4.83,0,0.81,0,1.61
 48-58,0,0,1.15,0,0,14.92,0,0,0,3.44,0,1.72,0.57,0,0,0,0.57,0,0.57,6.89,1.15,0,0.57,13.77,1.15,0.57,0.57,0,1.15,0,0,0,0,1.15,0.57,0,0,1.15
 60-70,0,0,0,0,0,7.85,0,0.98,0,7.85,0,0.98,1.96,0,1.96,0,0,0,0,5.89,0,0,0,13.74,1.96,0,0,0,0.98,0,0.98,0,0,2.94,0.98,0.98,0,2.94
 72-82,0,0.98,0,0,0,11.78,0,1.96,0.98,8.83,0,1.96,0,0.98,0,0,0,0,0,31.41,0.98,0,0.98,7.85,0,0.98,1.96,0,4.91,0,0.98,0,0,0.98,0.98,2.94,1.96,0
 84-94,0,0,5.31,0,0,11.68,1.06,0,1.06,1.06,0,0,3.19,0,2.12,3.19,0,0,0,20.18,0,2.12,0,5.31,0,0,2.12,0,9.56,0,0,0,0,1.06,0,5.31,1.06,4.25
 96-106,0,0,1.09,0,1.09,8.74,0,0,0,5.46,1.09,0,0,0,0,5.46,0,2.19,0,19.67,5.46,0,0,9.84,2.19,0,1.09,0,4.37,0,0,0,0,0,0,3.28,2.19,6.56
108-118,0,0,2.3,0.77,3.06,6.13,0,0,0.77,2.3,1.53,0,0.77,0,3.06,6.13,0,1.53,0.77,14.55,1.53,0.77,0.77,8.43,0,0,0.77,0,10.72,0,0,0.77,0,0,0.77,0.77,0,4.6
120,0,1.96,7.84,1.96,0,11.76,0,0,0,1.96,1.96,0,0,0,1.96,7.84,1.96,0,0,17.64,0,1.96,7.84,15.68,3.92,1.96,0,0,3.92,0,1.96,0,0,1.96,0,0,0,1.96
