stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0,3,29,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,0,6.57,0,0,0,0,0,0,0,0,2.46,0,0,0,0,9.85,0,0,0,198.65,0.82,0,0,0,0,19.7,0,0,0,109.17,0,0,2.46,0,0.82
 36-46,0,0,0,3.22,0,0,19.34,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0,4.03,0,0,3.22,441.51,0,0,1.61,0,0,20.14,0,0.81,0,178.05,0,0,3.22,0,0
 48-58,0,0,0,5.74,0,0,50.49,0,0,0,4.59,0,0.57,0,0.57,0,0,0.57,0,0.57,11.48,0.57,1.15,2.3,658.15,1.15,0.57,0.57,0,0,10.33,1.15,0,0,159.52,0,0,1.15,0,2.3
 60-70,0,0,0,8.83,0.98,0,139.38,0.98,2.94,0,6.87,0.98,0,0,0,0,0.98,0.98,1.96,0.98,16.69,0.98,0,1.96,1335.85,0.98,0.98,0,0,0,10.8,0,0.98,0,206.12,1.96,0,2.94,0,0
 72-82,0,0,0,9.82,5.89,0,228.73,0,0.98,0,32.39,0.98,0,0,0.98,0.98,3.93,0.98,0.98,0,43.19,1.96,1.96,0.98,1571.64,0,0,1.96,0,1.96,7.85,0,0.98,0,144.3,0.98,0,5.89,0,0
 84-94,0,0,0,13.81,5.31,0,183.73,3.19,2.12,0,33.99,2.12,0,1.06,4.25,2.12,2.12,1.06,0,0,26.55,0,1.06,4.25,810.33,1.06,1.06,3.19,0,0,13.81,0,0,0,83.9,0,1.06,4.25,1.06,1.06
 96-106,0,1.09,0,14.21,9.84,1.09,142.07,1.09,0,2.19,62.29,1.09,0,0,2.19,1.09,2.19,2.19,1.09,0,18.58,1.09,0,3.28,723.46,1.09,0,1.09,0,0,5.46,0,0,0,34.97,1.09,1.09,3.28,2.19,0
108-118,0,1.53,0,14.55,3.83,0,124.85,1.53,3.06,0,45.19,1.53,0,0,0.77,3.06,0,0,0,0.77,16.85,0.77,0,3.83,663.32,0,2.3,1.53,0,0,6.89,0,0,0,29.11,1.53,1.53,3.06,0.77,0.77
120,0,0,0,11.76,1.96,1.96,131.31,0,1.96,0,29.4,1.96,0,1.96,0,3.92,1.96,0,0,1.96,9.8,3.92,0,0,752.56,0,1.96,1.96,0,0,5.88,0,0,0,31.36,0,0,3.92,0,0
