stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,1699.95,27897.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357.33,0,0,0,0,0,0
  5-6,1624.35,17555.27,0,18.39,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,226.8,24.52,0,0,67.43,514.89,0,0,0,0,0,0
  7-9,55.2,10.51,0,23.66,0,0,0,26.29,0,0,0,10.51,0,0,0,0,0,0,0,0,523.11,42.06,0,0,212.93,5.26,5.26,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,28.32,0,0,0,3.15,3.15,3.15,0
 14-21,0,0,2,17,29,0,0,0,0,15,8,2,0,0,0,2,5,0,0,9,33,2,1,4,0,6,0,2,12,7,67,0
 24-34,0,0,0.82,0.82,1.64,0.82,0,4.1,0,2.46,1.64,0,0.82,0,0,0,0,0,0,0.82,23.8,0,0.82,1.64,0,1.64,0,0,0,0.82,27.09,0
 36-46,0,0,0,0,1.61,0,0,0.81,0.81,2.42,0,0,0,0,0,0,2.42,0,0,0,13.7,0,0.81,0.81,0,2.42,0,0,0,0,41.89,0
 48-58,0,0,0,0,0,0,0,1.15,0,2.87,0,0,0,0.57,0.57,0,3.44,0,0,1.15,7.46,0,0.57,0.57,0,0,0,0,0,0,30.99,0
 60-70,0,0,0,0,0,0,0,8.83,0,2.94,0,0,0,0,0.98,0,1.96,0,0,0,7.85,0,1.96,0.98,0,0,0,0,0,0,37.3,0
 72-82,0,0,0,0,0,0,0,0,0,5.89,0,0,0,1.96,0,0,2.94,0,0,0,22.58,0,0,0,0,0,0,0,0,0,13.74,0.98
 84-94,0,0,0,0,0,0,1.06,2.12,0,4.25,0,0,0,3.19,1.06,0,2.12,0,0,0,11.68,0,4.25,1.06,0,0,0,0,0,0,9.56,0
 96-106,0,0,2.19,0,2.19,0,0,2.19,1.09,8.74,3.28,0,1.09,1.09,0,0,1.09,0,2.19,0,10.93,0,2.19,1.09,0,1.09,0,0,1.09,0,6.56,3.28
108-118,0,0,0,0,1.53,0,0,0,0,6.89,0.77,0,0.77,2.3,0,0,0.77,0.77,0,0,6.89,0,2.3,2.3,0,0,0,0,0.77,0,0.77,1.53
120,0,0,0,0,1.96,0,0,0,0,9.8,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,1.96
