stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,44.33,0,0.82,0,0,6.57,0,0,0
 36-46,0,0,5.64,0,15.31,0,0,0.81,0,0,132.13,0,0.81,0,0.81,36.26,0,0,0
 48-58,0,0,14.92,0,48.2,0,0,0,0,0,127.96,0,0,1.72,0.57,45.9,0,0.57,0.57
 60-70,0,0.98,12.76,0,35.33,0,0,0,0,0,97.17,0,0,0,0,16.69,0,0,0
 72-82,0,0,7.85,0,44.17,0,0,0,1.96,0.98,76.57,0,0,0,0,10.8,1.96,0,0
 84-94,0,0,8.5,0,28.68,0,0,0,0,0,30.8,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,2.19,1.09,22.95,0,0,0,0,0,30.6,0,0,0,1.09,6.56,0,0,0
108-118,0.77,0,4.6,0,30.64,0,0,0,0.77,0,32.94,0,0,0,0,0,0,0,0
120,0,0,9.8,0,29.4,1.96,0,1.96,0,1.96,27.44,1.96,0,0,0,1.96,0,0,0
