stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,iridophores,liver,mesenchyme,neural,otic,pronephros
 10-12,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,1,1,0,0,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,3.28
 36-46,0,0,0.81,0,0,0,0,0,0,0,4.83
 48-58,0,0,0.57,0,0,0,1.15,0,0.57,0,2.3
 60-70,0,0,0,0,0.98,0.98,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,0,0,0.98,0.98,0,3.93
 84-94,0,0,1.06,0,0,0,1.06,0,0,0,3.19
 96-106,1.09,0,0,0,0,0,0,0,1.09,0,3.28
108-118,0,0,0.77,0.77,0,0,0,0,0.77,0.77,2.3
120,0,0,1.96,0,1.96,1.96,0,0,0,0,9.8
