stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,31.47,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,9,0,5,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,99,51,1,1,1,0,2,1,3,0,0,8,60,0,0,0,0,1
 24-34,0,0,3.28,0.82,3.28,0,19.7,0.82,0,0,1.64,0,0,0,0,0,0.82,0.82,0,9.03,0,0,4.1,594.3,4.93,19.7,1.64,0,0,4.1,0,0,0,0,2.46,177.3,0,0,3.28,0,0
 36-46,0,0,0.81,0,2.42,0,35.45,0,0.81,0.81,6.45,0,0.81,0,0,0,1.61,0,1.61,12.09,0,0.81,4.83,1332.58,5.64,15.31,1.61,0,0.81,2.42,0,0,0,0,0,324.68,0,0,3.22,0,0
 48-58,0.57,0,1.72,0,10.9,0,142.3,0.57,1.15,0.57,15.49,0,1.15,1.15,0,1.72,0,0,6.89,21.8,0,1.72,2.3,1810.35,2.3,10.9,1.72,0,0,6.31,0,0,0.57,0.57,0,319.61,0,0,2.87,0,2.3
 60-70,0,0,0.98,0,10.8,1.96,382.79,0.98,0.98,0.98,29.45,0,0,0.98,0.98,0.98,0,0,1.96,27.48,0,0,3.93,2917.08,3.93,17.67,1.96,0,0,0.98,0,0,0.98,0.98,0,422.05,0,2.94,1.96,0,0.98
 72-82,0,0,0.98,0,21.6,4.91,501.63,0,0.98,3.93,55.95,3.93,1.96,0,0.98,0.98,1.96,0.98,9.82,62.83,0,2.94,4.91,2684.85,0.98,28.47,3.93,0,0.98,5.89,0,0,0,0,0,283.7,1.96,2.94,4.91,3.93,0.98
 84-94,0,0,2.12,0,27.61,6.37,413.13,1.06,2.12,3.19,62.66,2.12,1.06,3.19,3.19,2.12,1.06,1.06,14.87,44.61,0,4.25,6.37,1550.57,1.06,13.81,2.12,0,1.06,7.43,0,0,2.12,0,0,174.17,3.19,2.12,5.31,0,1.06
 96-106,0,0,4.37,0,27.32,4.37,306,2.19,2.19,3.28,62.29,1.09,0,3.28,1.09,1.09,0,4.37,9.84,48.09,1.09,1.09,3.28,1248.03,3.28,22.95,0,0,0,14.21,0,0,0,1.09,0,81.96,0,3.28,6.56,4.37,1.09
108-118,0,0,2.3,0,19.92,1.53,253.53,0.77,1.53,3.83,53.62,3.06,0,0.77,1.53,1.53,0,2.3,15.32,37.53,0.77,1.53,3.83,1348.86,1.53,13.02,1.53,0,0,8.43,0,0,0,0.77,0,58.21,4.6,1.53,1.53,1.53,0
120,0,0,0,0,25.48,5.88,239.09,0,1.96,0,66.63,3.92,0,5.88,5.88,1.96,0,5.88,1.96,48.99,3.92,5.88,1.96,1558.03,5.88,23.52,0,0,1.96,19.6,0,1.96,3.92,0,0,56.83,1.96,0,7.84,1.96,0
