stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,0,0,68.35,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,212.93,10.51,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,18.88,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,6.29,0,0,103.85,0,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,13,6,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,7,182,2,3,1,4,0,14,2,1,17,68,0,0,0,0,0
 24-34,0,0,1.64,2.46,0,18.88,0,0.82,0,3.28,0,0,0,0,0.82,0.82,0,0,0,20.52,0,0,8.21,325.88,0.82,0,0.82,0,0.82,0,0,0,7.39,77.16,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,0,86.21,0.81,0,2.42,9.67,0,0,0,0,0,0,0,0,0,26.59,0,1.61,4.83,754.91,0,4.03,0,0,0,0.81,0,0.81,0,132.13,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,143.45,0,0,1.72,13.77,0,0,0,0,0,0.57,1.15,0,1.15,32.71,0,0.57,6.31,779.8,0.57,0,1.15,0,1.15,0,0,0.57,0,109.02,0,0,1.15,0.57,0
 60-70,0,0,1.96,0,0,271.88,0,0.98,0.98,35.33,0.98,0,0,0.98,0,0,0,0,0,28.46,0,1.96,3.93,1040.41,0,4.91,1.96,0,0.98,0,0,0,0,117.78,0,0.98,2.94,0,0
 72-82,0,0,4.91,0.98,0,188.48,0,0,0.98,30.43,0,0,0.98,0.98,0.98,0.98,3.93,0,0,33.38,0,0.98,5.89,647.9,0,5.89,1.96,0,1.96,0,0.98,0,0,53.01,0,0.98,2.94,0,0.98
 84-94,0,0,3.19,0,0,106.2,0,0,0,15.93,0,0,0,0,0,2.12,0,0,0,21.24,1.06,1.06,3.19,272.94,0,2.12,2.12,0,2.12,0,0,0,0,24.43,0,0,0,0,0
 96-106,0,0,2.19,0,0,71.04,0,0,0,16.39,1.09,0,0,3.28,1.09,0,0,1.09,0,16.39,0,1.09,1.09,236.05,0,1.09,1.09,0,1.09,0,1.09,1.09,0,5.46,0,0,0,0,0
108-118,0,0,1.53,0.77,0.77,62.04,0,0,3.06,9.96,1.53,0,0,0.77,2.3,2.3,1.53,0,0,13.79,0,0,1.53,272.68,0,2.3,2.3,0,0.77,0,0,0.77,0,5.36,1.53,0.77,0,0.77,1.53
120,0,0,5.88,0,0,58.79,0,0,0,9.8,3.92,0,0,1.96,0,0,0,0,0,3.92,0,0,0,199.9,0,1.96,1.96,0,0,0,0,1.96,0,5.88,0,0,0,0,0
