stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,122.59,1704.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,21.03,47.32,0,0,97.26,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,1298.58,5.26,0,0,357.5,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,25.18,0,3.15,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.17,0,0,0,151.05,0,0,6.29,0,12.59,0,0,0,0,0,0
 14-21,0,0,5,16,5,11,0,0,0,4,2,0,0,0,0,0,0,0,11,0,0,7,201,1,0,3,8,0,6,0,18,1,0,9,58,0,1,0
 24-34,0,0.82,0,5.75,1.64,54.18,0,0,1.64,4.1,0,0,0,0,0.82,0.82,0,1.64,27.09,0,0.82,12.31,229.84,1.64,0.82,4.93,0,0,7.39,0,0,1.64,0,0,32.83,0,4.1,0
 36-46,0,0,0,16.92,2.42,109.57,0,0,0.81,4.83,0.81,0,1.61,0.81,0,0,0,0,30.62,0,0.81,8.86,228,0,1.61,4.03,0,0,4.03,0,0,0,0,0,44.31,0,1.61,0
 48-58,0,0,0,6.89,1.15,78.04,0.57,0,0.57,8.03,0.57,0,0,0,0.57,0,0.57,0,26.97,0.57,2.87,8.03,79.19,0.57,0.57,1.15,0,0,2.87,0,0,0,0,0,10.9,0,2.3,0
 60-70,0,0,0,9.82,0,65.76,0,0,0.98,13.74,0,0,0.98,0,0,0,0,0,10.8,0,1.96,5.89,51.04,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,3.93,0
 72-82,0,0,0,7.85,0,18.65,0,0.98,0.98,9.82,0,0,2.94,0,0,0,0,0,25.52,0,1.96,4.91,50.06,0.98,0,0.98,0,0,2.94,0,0,0,0.98,0,2.94,1.96,0.98,0
 84-94,0,0,0,9.56,1.06,28.68,1.06,1.06,1.06,10.62,1.06,0,2.12,1.06,0,1.06,1.06,0,30.8,0,0,5.31,46.73,0,1.06,1.06,1.06,1.06,2.12,0,0,0,0,0,0,1.06,4.25,0
 96-106,0,0,0,2.19,1.09,12.02,0,1.09,0,6.56,2.19,0,0,2.19,0,0,0,0,10.93,0,1.09,1.09,18.58,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,8.74,0
108-118,0,0,0,9.19,1.53,26.04,0,0.77,1.53,24.51,3.83,0,0.77,1.53,0.77,0.77,0,0,23.74,0,0,5.36,65.11,0.77,0,0.77,0,0,1.53,0,0,0,0,0,0,0.77,5.36,0.77
120,0,0,0,3.92,5.88,9.8,0,0,1.96,15.68,0,0,0,3.92,0,3.92,0,0,7.84,0,1.96,3.92,56.83,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0
