stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0.82,17.24,0,0,0.82,0,1.64,0.82,0,0,0,1.64,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,37.87,0,0,3.22,0,0.81,0.81,0,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0.57,38.44,0,0,5.16,0,0,2.3,0,0,0,0,0,0.57,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,0,0,36.32,0,0,9.82,0,0,0.98,0.98,0,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,0,0,0,0,0,0,67.73,0,0,14.72,0,0,3.93,0.98,0,0,0,0,0,0,14.72,2.94,0
 84-94,0,2.12,0,1.06,0,1.06,1.06,1.06,0,89.21,0,0,20.18,1.06,1.06,3.19,0,0,0,0,0,0,0,11.68,1.06,1.06
 96-106,2.19,2.19,0,4.37,0,0,3.28,0,0,146.44,0,0,17.49,2.19,1.09,2.19,0,0,3.28,0,0,2.19,0,14.21,7.65,0
108-118,1.53,0,0.77,1.53,0,0,1.53,0.77,0,110.3,0.77,0,15.32,0,0.77,6.89,1.53,0,3.83,0,0,0.77,0,8.43,5.36,0
120,1.96,1.96,0,1.96,1.96,0,0,0,1.96,82.31,0,3.92,15.68,1.96,3.92,3.92,0,0,1.96,0,0,0,1.96,3.92,7.84,0
