stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,25.18,9.44,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,83,24,0,1,0,0,0,2,1,2,11,0,1,0,0,1,0,13,0,0,6,22,10,0,0,1,0,1,15,0,0,25,20,0,0,11,0,0
 24-34,0,0,0,0.82,105.07,2.46,0,8.21,0,5.75,0,9.03,1.64,0,8.21,5.75,0.82,1.64,0.82,1.64,10.67,18.06,1.64,0,3.28,200.29,9.85,0,0.82,0,0,0.82,0,0.82,0,0.82,94.4,0,0,59.1,0,11.49
 36-46,0,0,0,0,53.98,0,0,55.59,0,4.83,1.61,20.95,0.81,0,8.06,4.03,0,0.81,0.81,0.81,13.7,29,1.61,0.81,2.42,509.18,13.7,0,0.81,0,0,1.61,0,0,0,0,163.55,0,0,51.56,0,21.75
 48-58,0,0,0,0,35,0.57,0,207.14,0,17.21,6.31,48.77,0,0,5.74,8.03,0,6.89,0.57,0,6.31,37.3,0,2.3,5.74,683.98,10.33,0,4.02,0,0.57,1.15,0,0,0.57,0,133.12,0,0,36.72,0,20.08
 60-70,0,0,0,0,56.93,0,0,514.32,1.96,16.69,3.93,113.86,0,0,3.93,16.69,0,31.41,0,0,1.96,72.63,0.98,2.94,5.89,1043.36,10.8,4.91,6.87,0,0,0,0,1.96,0,0,178.64,0,4.91,57.91,0,13.74
 72-82,0,0,0,0,58.9,3.93,0,503.59,0.98,13.74,13.74,214.98,6.87,0.98,9.82,43.19,2.94,35.34,0,0.98,5.89,129.58,1.96,3.93,7.85,946.32,3.93,5.89,4.91,0,2.94,0,0,0,0,0,85.4,0.98,3.93,87.37,2.94,12.76
 84-94,0,0,2.12,1.06,120.01,6.37,0,344.1,1.06,35.05,10.62,126.38,5.31,0,7.43,60.54,4.25,22.3,0,0,5.31,137,4.25,3.19,7.43,538.45,12.74,0,3.19,0,0,4.25,0,1.06,0,0,52.04,2.12,4.25,77.53,6.37,14.87
 96-106,0,0,1.09,0,123.49,3.28,0,254.63,0,18.58,4.37,142.07,13.11,1.09,12.02,104.91,3.28,14.21,2.19,1.09,4.37,132.23,3.28,4.37,3.28,457.9,5.46,2.19,8.74,0,1.09,10.93,0,0,0,0,26.23,2.19,5.46,75.41,6.56,13.11
108-118,0,0,0,0,150.89,6.13,1.53,193.02,1.53,32.17,6.89,123.32,12.26,0,3.06,75.06,10.72,15.32,0.77,0,9.19,108,3.83,3.83,4.6,445.02,6.89,3.83,5.36,0,2.3,1.53,0,0.77,0.77,0,16.09,1.53,1.53,58.98,3.06,13.79
120,0,0,0,0,131.31,1.96,1.96,162.66,0,25.48,3.92,80.35,5.88,0,1.96,111.71,13.72,11.76,5.88,1.96,1.96,109.75,1.96,5.88,1.96,454.67,25.48,0,3.92,0,0,5.88,0,0,0,0,19.6,1.96,0,48.99,5.88,5.88
