stage,axial,blastomeres,epidermis,eye,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0
 14-21,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,4.03,0.81,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0
 60-70,0,0,0,3.93,0,0,0,0,0,5.89,0,0.98,0,0,6.87,0
 72-82,0,0,0.98,1.96,0,0,0,0,0,4.91,0.98,0,0,0,0.98,0
 84-94,0,0,0,1.06,2.12,0,0,0,0,1.06,2.12,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,1.53,0,3.83,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0
