stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1752.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,245.19,2997.39,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,24.52,0,392.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,36.8,0,39.43,0,0,0,139.32,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,1206.58,65.72,0,0,538.89,0,49.95,15.77,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,56.65,0,56.65,0,6.29,0,132.17,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,1315.43,78.67,0,0,355.61,0,22.03,18.88,3.15,72.38,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,3,47,1,0,27,0,0,0,5,0,1,0,0,2,0,0,0,18,0,0,5,142,10,2,1,2,0,12,0,13,0,5,24,29,0,0,0,0,0
 24-34,0,0.82,1.64,5.75,10.67,0.82,0,49.25,0,0.82,0,3.28,0.82,0,0,0,21.34,0,1.64,1.64,24.63,0,0,14.78,320.95,2.46,6.57,1.64,0,0,4.93,0,0,2.46,0.82,6.57,63.21,0,0,12.31,0,0.82
 36-46,0,0,0.81,0,8.06,0,0,52.37,0,0,0,12.09,0,0,0.81,0,7.25,0,0.81,0,37.06,0,1.61,11.28,406.06,3.22,12.89,0,0,0,2.42,0,0,0.81,0.81,0,77.34,0,0,8.06,0,0
 48-58,0,0,0.57,0,1.72,0,0,70.58,0.57,0.57,1.15,17.79,0.57,10.33,0,1.72,4.02,0,0,0,30.41,0,1.15,4.59,209.44,1.72,2.3,0.57,0,0.57,0,0,0,0,1.15,0,24.1,0,0,3.44,0,0.57
 60-70,0,0,0,0,4.91,0,0,133.49,1.96,0.98,0.98,30.43,1.96,3.93,0,0,6.87,2.94,1.96,0,41.22,0,0,2.94,224.77,0,6.87,0,0,0,0.98,0,0,0.98,0,0,22.58,0,0.98,2.94,0.98,0.98
 72-82,0,0,1.96,0,3.93,0.98,0,75.59,1.96,0.98,1.96,28.47,0.98,3.93,2.94,1.96,6.87,0,0.98,0,65.77,1.96,1.96,3.93,139.4,0.98,7.85,1.96,0,0,0.98,0,0,0,0,0,17.67,0,0.98,7.85,1.96,0.98
 84-94,0,0,1.06,0,13.81,0,0,98.77,1.06,3.19,0,26.55,4.25,5.31,1.06,4.25,14.87,3.19,1.06,0,35.05,0,2.12,6.37,96.65,1.06,3.19,1.06,0,0,5.31,1.06,0,0,0,0,21.24,2.12,2.12,10.62,2.12,0
 96-106,0,0,0,0,6.56,1.09,0,101.63,0,3.28,1.09,29.51,8.74,1.09,0,10.93,18.58,5.46,1.09,2.19,49.18,3.28,1.09,2.19,80.87,6.56,6.56,1.09,0,2.19,4.37,0,0,0,1.09,0,8.74,4.37,0,18.58,1.09,0
108-118,0,0,3.06,0,12.26,0,1.53,88.85,2.3,0.77,3.06,21.45,9.96,0,1.53,7.66,24.51,6.89,0,0.77,65.87,1.53,2.3,10.72,102.64,7.66,8.43,0.77,0,0.77,3.06,0,0,0,0,0,11.49,3.06,1.53,9.96,0.77,1.53
120,0,0,0,0,17.64,0,3.92,60.75,0,1.96,0,25.48,5.88,0,0,7.84,13.72,9.8,0,0,66.63,3.92,5.88,13.72,117.59,15.68,7.84,3.92,0,3.92,3.92,0,0,0,0,0,3.92,3.92,1.96,5.88,1.96,0
