stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,5.75,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,9.67,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0.57,2.3,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,1.96,1.96,0,274.83,0,0,1.96,7.85,0.98,0,0,0,0.98,0,0.98,0,12.76,0,0,2.94,14.72,0,0,0.98,0,0,2.94,1.96,0,0.98,0,0,0.98,0,0
 72-82,0,0,3.93,0,38.28,30.43,0,1289.9,5.89,6.87,8.83,76.57,6.87,2.94,9.82,3.93,5.89,3.93,10.8,2.94,200.26,6.87,10.8,20.61,417.21,1.96,8.83,12.76,0,1.96,37.3,0,0.98,46.14,3.93,2.94,17.67,4.91,10.8
 84-94,0,0,2.12,0,38.23,18.05,0,1310.55,3.19,2.12,6.37,36.11,4.25,2.12,8.5,2.12,3.19,1.06,1.06,1.06,74.34,4.25,8.5,7.43,191.17,3.19,1.06,1.06,0,1.06,31.86,1.06,0,16.99,5.31,1.06,11.68,2.12,3.19
 96-106,1.09,0,1.09,0,55.74,46.99,1.09,1205.41,7.65,15.3,6.56,91.8,13.11,5.46,22.95,9.84,6.56,6.56,13.11,2.19,134.42,4.37,4.37,18.58,289.6,1.09,13.11,13.11,0,1.09,75.41,2.19,2.19,18.58,2.19,5.46,29.51,5.46,10.93
108-118,1.53,0,0.77,0,43.66,30.64,5.36,913.79,5.36,11.49,11.49,58.21,9.96,0.77,15.32,4.6,3.06,3.83,8.43,2.3,182.3,4.6,8.43,19.15,396.77,2.3,6.13,6.13,0,1.53,57.45,0.77,1.53,10.72,3.83,2.3,13.79,5.36,6.89
120,0,0,0,0,47.03,33.32,5.88,1105.32,0,5.88,5.88,50.95,5.88,0,3.92,3.92,0,1.96,7.84,1.96,111.71,3.92,3.92,15.68,342.96,1.96,3.92,9.8,0,0,29.4,1.96,1.96,15.68,5.88,3.92,7.84,3.92,3.92
