stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,232.93,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,10.51,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.92,7.89,0,0,55.2,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,169.94,9.44,0,0,66.09,0,0,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,0,11,1,5,0,0,0,7,0,0,0,0,0,0,0,0,5,0,6,70,2,0,2,2,0,1,0,11,1,0,5,27,0,1,0,0
 24-34,0,0,0,1.64,0,7.39,0,0.82,0,4.93,0,0,0,0,0,0,0,0.82,8.21,0,2.46,85.37,0,0,2.46,0,0,0,0,0,0.82,0.82,0,23.8,0,2.46,0,0
 36-46,0,0,0,0,0,3.22,0,0.81,1.61,13.7,0,0,0,0,0,0,0,0,10.47,1.61,1.61,90.23,0,2.42,0,0,0,0,0,0,0,0,0,29.81,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,18.94,0.57,1.15,0.57,7.46,0,0,0,0,0,0,0,0,15.49,0.57,2.3,44.76,0.57,0.57,0.57,0,0,0,0,0,0,0,0,10.33,0,2.3,0,0
 60-70,0,0,0,0.98,0,29.45,0,0,0,5.89,0,0,0,0,0,0,0,0,12.76,0,0.98,60.85,0,0,1.96,0,1.96,0,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0.98,0,18.65,0,0,0,2.94,0,0,0,0,0.98,0,0,0,26.5,0,1.96,36.32,0,1.96,3.93,0,0,0,0,0,0,0,0,1.96,0,2.94,0,0.98
 84-94,0,0,0,4.25,2.12,16.99,0,1.06,1.06,7.43,0,0,0,0,0,1.06,0,1.06,11.68,0,0,24.43,0,1.06,2.12,0,0,0,0,0,1.06,0,0,5.31,0,1.06,1.06,0
 96-106,0,0,0,0,0,8.74,0,0,0,6.56,0,0,1.09,1.09,0,2.19,0,0,10.93,0,0,25.14,0,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,5.36,0,0,0,7.66,0,0,0,0,0.77,0.77,0.77,0.77,9.19,0.77,1.53,26.81,0.77,0.77,3.83,0,0,0.77,0,0,0.77,0,0,0.77,0.77,0.77,0.77,0
120,0,0,0,3.92,0,3.92,0,0,3.92,1.96,1.96,0,1.96,0,0,0,0,0,13.72,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0
