stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,288.09,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,18.39,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,34.17,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,4,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,8.21,2.46,0,0,0,5.75,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,29,0.81,0,0,0.81,4.03,0.81,0.81
 48-58,0,0,0,0,4.59,0,0.57,0,0.57,0,0,1.15,0.57,0.57,43.61,1.72,0,0,0,12.05,0.57,1.15
 60-70,0,0,0,0,9.82,0,0,1.96,0,0,0,0.98,0.98,0,48.09,1.96,0,0,1.96,9.82,0,0
 72-82,0,0,0,0,17.67,0,0,4.91,0,0,0,0,1.96,0,55.95,1.96,0.98,0,0.98,7.85,0.98,0.98
 84-94,0,0,0,1.06,8.5,1.06,0,2.12,0,0,0,0,0,0,14.87,0,0,0,1.06,5.31,0,0
 96-106,0,0,0,1.09,7.65,0,0,2.19,0,0,0,0,1.09,0,14.21,1.09,0,0,2.19,1.09,0,2.19
108-118,0,0,0,0.77,4.6,0,0,0.77,0,0,2.3,0,0.77,0,11.49,1.53,0.77,0,4.6,0.77,0,0
120,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,1.96,1.96,0,0
