stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.47,0,0,0,0,0,0,0,0,0
  5-6,24.52,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,429.07,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,36.8,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,257.61,5.26,0,0,78.86,0,63.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,6.29,0,0,97.56,0,15.73,0,3.15,0,3.15,0,0,0,0,0
 14-21,1,0,1,0,43,0,0,1,0,0,0,5,0,0,0,0,58,0,0,16,0,3,9,0,0,46,1,0,0,0,0,6,3,56,1,69,0,0,1,0,0
 24-34,0,0,2.46,0.82,18.06,0,0,1.64,0,2.46,0,4.1,0.82,0,0,0,128.87,0.82,0,18.88,0,29.55,23.8,0,4.1,160.89,0.82,3.28,0.82,0,0,2.46,0.82,91.94,1.64,39.4,0,0,9.03,0,0
 36-46,0,0,0.81,0,7.25,0,0,12.89,0,0,1.61,11.28,0,0,0.81,0.81,58.81,0,1.61,6.45,0,41.09,12.09,0.81,4.03,181.28,0,2.42,0.81,0,0,5.64,0,61.23,0,29,0,0.81,14.5,0,0.81
 48-58,0,0,2.87,0,8.61,0,0,17.79,0.57,0.57,2.3,13.77,0,0,1.15,0,21.8,4.59,1.15,4.59,0,90.66,3.44,1.15,7.46,117.63,0,0.57,1.15,0,0,4.02,0,33.85,0,24.67,0,1.15,6.89,0,0
 60-70,0,0,3.93,0,11.78,0.98,0,22.58,0,0,1.96,17.67,3.93,0,2.94,0,13.74,19.63,0.98,1.96,0.98,208.08,1.96,5.89,8.83,114.84,0,0,0.98,0,4.91,11.78,0,42.21,0,41.22,0,5.89,7.85,0.98,0.98
 72-82,0,0,15.71,0,15.71,2.94,0,30.43,0,0,3.93,29.45,9.82,0,0.98,1.96,22.58,34.36,3.93,0.98,0.98,275.85,0,2.94,5.89,142.34,0,0.98,0.98,0,8.83,18.65,0,57.92,0,28.47,0,11.78,5.89,1.96,0
 84-94,0,0,19.12,0,33.99,4.25,0,59.47,0,5.31,4.25,21.24,12.74,0,0,0,36.11,61.6,3.19,5.31,0,203.91,1.06,10.62,5.31,92.4,0,8.5,0,0,6.37,48.85,0,111.51,0,20.18,0,4.25,3.19,3.19,0
 96-106,0,0,14.21,1.09,52.46,1.09,1.09,46.99,1.09,1.09,4.37,28.41,26.23,0,1.09,1.09,27.32,80.87,5.46,6.56,0,203.27,1.09,8.74,9.84,110.38,1.09,5.46,1.09,0,15.3,26.23,0,104.91,0,6.56,2.19,3.28,2.19,4.37,2.19
108-118,0,0,15.32,0.77,50.55,1.53,0,26.04,0,3.06,3.83,22.98,22.98,0,0,1.53,23.74,105.7,5.36,3.83,0,221.36,3.06,13.02,4.6,120.26,0.77,6.89,0,0,13.79,23.74,0,89.62,0,6.13,0,2.3,3.06,0.77,0.77
120,0,0,9.8,0,58.79,0,0,19.6,0,3.92,0,11.76,17.64,0,0,1.96,13.72,82.31,5.88,7.84,0,217.54,0,5.88,5.88,141.1,0,5.88,0,1.96,15.68,31.36,0,41.16,0,9.8,0,0,1.96,5.88,0
