stage,blastomeres,epidermis,eye,glial,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,37.76,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,1,0,0,0,0,8,0,0,0,0,0,1,2,1,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,11.49,0,0.82,1.64,0,0,0,0,2.46,0,0
 36-46,0,1.61,1.61,0,0,0,0.81,0,0,14.5,0,0,0.81,0,0.81,0,0,5.64,0,0
 48-58,0,0.57,2.3,0,0,0,0.57,0.57,0,12.05,0,0.57,0,0,0,0,0,4.02,0,0
 60-70,0,0.98,4.91,0,0,0,0.98,0,0,4.91,0,0.98,0,0,0,0,0,1.96,0,0
 72-82,0,1.96,0,0,0,0,0.98,0,0,6.87,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,3.19,4.25,0,0,0,3.19,0,0,5.31,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,1.53,1.53,0.77,0,0,0.77,0,0.77,2.3,0,0,0,0,0,0,0,0,0,0.77
