stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,1,0,1,0,0,0,0,1,1,1,0,1,3,0,10,38,3,0,1,1,0,1,6,0,2,17,11,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,5.75,0,0,0,0,0,0,0,0,0,1.64,0,3.28,61.56,0,1.64,0.82,0,2.46,0,0,0,0,1.64,15.6,0,0,1.64
 36-46,0,0,0.81,1.61,0.81,0,0,7.25,0,0.81,6.45,0.81,0,0,0,0,0,1.61,0,1.61,67.68,1.61,1.61,0.81,0,1.61,0,0,0,0,0,20.14,0,0,0
 48-58,0,0,0,0,1.72,0,0,20.66,0,1.15,17.79,0,0,0.57,0.57,0,0,2.87,0.57,1.15,55.09,0.57,0,0.57,0,0.57,0,0,0,0,0,10.9,0,0,0
 60-70,0,0,0,0,2.94,0,0,41.22,0,0.98,23.56,0,0,0,0,0.98,0,3.93,0.98,0,61.84,0,0.98,0.98,0,0,0,0,0.98,0,0,9.82,0,0,0
 72-82,0,0,0,0,3.93,0.98,0,44.17,0,0,26.5,0.98,0,0.98,2.94,0,0,6.87,0,1.96,49.08,0,0.98,0.98,0,0,0,0,0,0,0,8.83,0,0.98,2.94
 84-94,0,0,1.06,0,4.25,0,0,30.8,0,0,22.3,3.19,0,0,3.19,0,0,6.37,0,0,24.43,0,0,2.12,0,4.25,0,0,1.06,0,0,2.12,1.06,0,0
 96-106,0,0,0,0,3.28,0,1.09,21.86,0,0,21.86,2.19,0,0,2.19,0,0,4.37,1.09,4.37,29.51,0,0,0,0,6.56,0,0,0,0,0,1.09,2.19,1.09,2.19
108-118,0,0,0,0,3.83,0,2.3,15.32,1.53,0.77,12.26,1.53,0,1.53,0.77,0,0,0.77,0.77,0,24.51,0,3.06,0.77,0,3.06,0,0,0.77,0,0,0.77,0,0,0.77
120,0,0,0,0,9.8,3.92,0,13.72,0,0,19.6,1.96,0,0,1.96,0,0,1.96,1.96,0,27.44,0,0,0,0,11.76,0,0,0,0,0,1.96,1.96,0,1.96
