stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,1.64,16.42,0.82,0,0,0,5.75,0.82,0,2.46,0,1.64,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0.81,0,0.81,8.06,0,0,0,0,1.61,0.81,0,3.22,0,0.81,0,0
 48-58,0,1.15,0,0,5.16,0,0.57,0,1.15,0,0,1.15,0.57,0,0,0,0,4.59,0,0,22.95,0,0,0.57,0,1.15,0.57,0,2.87,0,0.57,0,0
 60-70,0.98,0.98,0,0,2.94,0,0,0,0.98,0.98,0,0,0.98,0,0.98,0,0,0.98,0,0,15.7,0,1.96,0,0,4.91,0,0.98,0.98,0,0,0,0.98
 72-82,0,0.98,0,0,5.89,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,1.96,0,0.98,27.49,0,0,0,0,3.93,0,0,0.98,0,0.98,0,0
 84-94,0,1.06,1.06,0,6.37,0,1.06,0,2.12,0,0,0,0,0,0,0,0,3.19,0,0,7.43,0,0,0,0,6.37,0,0,0,1.06,0,0,0
 96-106,0,1.09,2.19,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0,2.19,0,0,8.74,0,0,0,0,0,0,0,0,0,2.19,0,1.09
108-118,0,2.3,0,1.53,1.53,0,1.53,0,0.77,1.53,0,0,0.77,0,0,0.77,0,2.3,0.77,0,9.96,0,0,0.77,0,4.6,0,0,0,0,3.06,0,0
120,0,1.96,0,0,5.88,0,0,1.96,5.88,0,0,0,1.96,0,0,0,0,3.92,0,0,19.6,0,1.96,0,1.96,11.76,0,0,0,0,0,1.96,0
