stage,erythrocytes,exocrine.pancreas,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0.82,1.64,0,0,0,4.1,0.82,0,0.82,0,4.93
 36-46,0,0,0.81,1.61,0,0.81,0,6.45,0,0,0,0,2.42
 48-58,0,0,1.15,0.57,0,0,0.57,2.3,0,0,0,0,1.72
 60-70,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,1.53,0,2.3,0,0.77,0,0.77,0,0.77,0,0,0
120,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0
