stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,11,1,1,0,0,0,0,1,0,0,1,51,0,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,1.64,0,0,0,0,0,0,0,1.64,0,3.28,21.34,1.64,0,0,0,0,0,0,0,0,0,141.19,0,0,0,0
 36-46,0,0,0,0.81,0,6.45,0,2.42,0,0,0,0,0,0,0,1.61,0,0.81,29,0,0,0.81,0,0,0,0,0,0.81,0,207.06,0,0,0,0.81
 48-58,0,0,0,0,0,8.03,0.57,10.9,0,0,0,0,0,0,0,3.44,0.57,0,48.2,0,0,0,0,0,0,0,0,0,0,243.87,0,0,0,0
 60-70,0,0,0,0,0,34.35,0,11.78,0,0,0,0,0,0.98,0,2.94,0.98,0,103.06,0,0,0,0,0,1.96,0,0,0,0,257.16,0,0,0,0
 72-82,0,0.98,0,0.98,0.98,104.06,0,8.83,0,0,0,0,0,0,0,7.85,0,0.98,130.56,0,0,0,0,0.98,0,0,0,0,0,162.96,0,0.98,0,0.98
 84-94,0,0,0,2.12,0,80.71,0,8.5,0,0,1.06,1.06,0,0,0,10.62,2.12,0,90.27,0,0,0,0,0,0,0,1.06,0,0,101.96,1.06,0,1.06,0
 96-106,0,0,0,4.37,0,111.47,0,13.11,0,0,0,0,2.19,1.09,1.09,6.56,0,2.19,101.63,0,0,1.09,0,0,0,0,0,0,0,54.64,0,2.19,0,0
108-118,0,0,0.77,3.06,0,101.87,1.53,13.02,0.77,0,0,0,0,0,0,4.6,1.53,0.77,111.83,0,0.77,0,0,0,0,0,0,0,0,53.62,0,0,0,0
120,0,0,0,1.96,0,84.27,0,1.96,0,0,0,0,0,0,0,5.88,0,1.96,137.18,1.96,1.96,1.96,0,0,0,0,0,0,0,113.67,0,0,0,0
