stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0.82,0,0,4.1,1.64,0,0.82,0,5.75,0,1.64,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,0,0,4.03,3.22,0,0,0,4.83,0,4.83,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,1.15,0,0.57,2.87,0.57,0.57,0.57,0.57,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0.98,1.96,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,4.91,0,0,2.94,0,0,9.82,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,7.43,0,0,0,0,0,13.81,1.06,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,8.74,0,0,0,0,0,3.28,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,9.96,0.77,0.77,3.06,0,0,3.06,0,0,3.06,1.53,0,0,0,1.53,0,1.53,0.77,0.77
120,0,0,0,13.72,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
