stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,24,0,0,28,3,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,5.75,0,2.46,0,4.93,4.1,1.64,0,0.82,265.96,0,1.64,135.44,17.24,0.82,0,0,0,0,2.46,2.46,0,3.28,0,0
 36-46,0,0,0,7.25,0.81,29.81,1.61,1.61,0.81,0,556.72,0,4.03,174.02,20.14,0,0.81,0,0,0,0,2.42,0,8.86,0,0
 48-58,0,0.57,0,8.61,0,38.44,0.57,2.3,0,0.57,521.59,0,6.89,99.27,15.49,1.15,0,0,0.57,0,0,1.15,0.57,3.44,0,0.57
 60-70,0,0,0,5.89,0.98,49.08,0.98,1.96,0,0.98,681.18,0.98,10.8,74.6,10.8,0.98,0,0,2.94,0,0,2.94,6.87,1.96,0,0
 72-82,0,1.96,0,11.78,0,50.06,0.98,0,0,0,553.66,0,6.87,66.75,8.83,1.96,0,0,0,0,0,0.98,2.94,0,0.98,0
 84-94,0,2.12,0,26.55,2.12,44.61,0,0,2.12,0,442.87,0,6.37,50.98,7.43,2.12,0,0,0,0,0,0,4.25,1.06,0,0
 96-106,0,1.09,0,13.11,2.19,33.88,1.09,0,0,0,312.55,0,4.37,28.41,8.74,0,0,0,0,1.09,0,0,2.19,0,0,0
108-118,0,1.53,0,8.43,0,24.51,0,0,0,0,232.85,0,2.3,16.09,5.36,0,0.77,0,0,0.77,0,0.77,2.3,0,0,0
120,0,5.88,0,1.96,0,27.44,0,0,1.96,0,184.22,0,3.92,17.64,7.84,0,0,0,0,0,0,0,0,0,0,0
