stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,18.4,2.63,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,66.09,3.15,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,0,0,0,0,2,0,2,0,7,3,0,0,0
 24-34,0,0,0,1.64,0,3.28,0.82,0,0,0.82,0,0,1.64,0.82,0,0.82,0,3.28,0,0,0.82,16.42,0,0,1.64,0,31.19,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,1.61,0,0,1.61,0,0,0,0,0.81,0.81,0,0,0.81,0,0.81,0,0,0,4.03,0,0,0,0,23.36,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0.57,1.15,0,0,0.57,0,1.72,0,0,0,4.02,0,0,0,0,12.05,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,0.98,0,0,0,1.96,0.98,0.98,0,0,1.96,0,0,0,4.91,0,0,0,0,58.89,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0.98,0,4.91,0.98,0,0.98,2.94,0,0,6.87,0.98,1.96,0,0.98,2.94,0.98,0,2.94,7.85,0,0,0,0,90.31,0,0,0,0,0,0.98,6.87,0
 84-94,0,0,0,2.12,0,1.06,1.06,0,0,1.06,1.06,0,3.19,0,0,0,0,1.06,0,0,0,2.12,0,0,0,0,65.85,0,0,0,0,0,0,5.31,0
 96-106,0,0,0,8.74,0,4.37,6.56,0,0,3.28,0,1.09,7.65,1.09,1.09,0,0,1.09,2.19,0,0,6.56,0,1.09,0,0,140.98,0,0,0,0,0,0,2.19,0
108-118,0,0.77,0,9.96,0,0.77,1.53,0.77,0.77,0.77,0,0,2.3,0.77,0,0,0,0.77,2.3,0.77,0.77,6.13,0,0,0,0,63.57,0,0,0,0,0.77,0,1.53,0
120,0,0,0,9.8,5.88,1.96,1.96,0,0,1.96,0,0,21.56,3.92,0,0,0,1.96,1.96,0,0,1.96,0,1.96,0,0,52.91,0,0,0,0,0,0,3.92,0
