stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,5,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,249,0,3,5,0,0,0,0,0,0,2,108,0,0,0,0,0
 24-34,0,0.82,4.1,3.28,0,0,118.2,0,0,0,5.75,0.82,0,0.82,0,0,0,0,0,0,17.24,0,3.28,1265.76,0,9.85,12.31,0,0,3.28,0,0.82,0,0.82,239.69,0,0,0.82,0,0.82
 36-46,0,0,7.25,0,1.61,0,204.64,0,0,0,21.75,0,0,0.81,0.81,0,0,0,0.81,1.61,24.98,0,0,3059.93,0.81,8.06,8.86,0,0,1.61,0,0,0.81,0,439.9,0,0.81,0,0,0
 48-58,0,0,1.15,13.2,4.59,0,528.47,0,1.15,2.3,55.66,0.57,0,0.57,0,0,0,1.15,1.72,0,63.69,2.3,5.74,4024.67,0,10.33,6.89,0,0,4.59,0,0,0.57,0,603.64,0,0,2.3,0,1.72
 60-70,0,0,1.96,6.87,0.98,0,572.23,0,0.98,1.96,47.11,0,0,0,2.94,0,0,0.98,0,0.98,91.28,0.98,0.98,3476.55,0,4.91,6.87,0,0,1.96,0,0.98,0,0,537.87,0,0.98,0,0.98,0.98
 72-82,0,0,1.96,20.61,5.89,0,552.68,0,0.98,0.98,70.68,5.89,0,1.96,0.98,0,3.93,0.98,0,0,175.72,0,3.93,2311.81,0,6.87,6.87,0,0.98,5.89,0.98,0,0,0,279.77,0,0.98,1.96,1.96,1.96
 84-94,0,0,3.19,25.49,1.06,0,405.7,0,1.06,0,48.85,3.19,0,0,1.06,0,3.19,1.06,1.06,0,133.82,4.25,4.25,1175.68,1.06,7.43,23.36,0,1.06,7.43,0,0,0,0,173.11,2.12,1.06,4.25,3.19,1.06
 96-106,0,0,1.09,15.3,4.37,0,253.54,0,1.09,1.09,41.53,5.46,0,3.28,2.19,2.19,0,0,1.09,0,98.36,0,2.19,849.14,0,5.46,26.23,0,1.09,4.37,0,0,0,0,49.18,0,0,2.19,2.19,2.19
108-118,0,0,2.3,12.26,2.3,0,172.34,0.77,0.77,0,32.94,1.53,0,0.77,0,0.77,0,0.77,0.77,0.77,91.15,0,4.6,1003.41,0,6.89,13.02,0,0,3.83,0,0,0,0,43.66,0,0,1.53,0,0
120,1.96,0,1.96,3.92,0,1.96,168.54,0,1.96,0,29.4,1.96,0,0,1.96,0,0,0,0,0,68.59,0,3.92,874.06,0,0,11.76,0,0,3.92,0,0,1.96,0,15.68,0,0,1.96,0,0
