stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,3,0,0,0,1,0,1,0,0,0,0,0,10,0,0,12,36,1,0,0,0,7,2,3,11,48,15,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,19.7,0,1.64,0.82,9.03,0,0.82,0,3.28,0.82,0,0,36.94,0,0,17.24,67.31,0.82,0.82,0.82,0,25.45,0,9.03,2.46,9.03,25.45,0,0,6.57,0,0
 36-46,0,0,0,0,0.81,0,16.92,4.03,0.81,0.81,18.53,0.81,1.61,0,3.22,0.81,0,0,33.03,0,0,8.86,41.89,0.81,0.81,0.81,0,27.39,0,4.83,0,0.81,16.11,0,0,9.67,0,1.61
 48-58,0,0.57,0,0,2.87,0.57,26.4,4.02,0.57,0,47.05,0.57,1.15,0,0.57,0,0.57,0,28.69,0,0.57,6.31,28.69,1.72,1.15,0,0,9.75,0,5.16,1.72,0,21.23,0,0,7.46,0.57,0
 60-70,0,0,0,0,3.93,0,56.93,1.96,0,0,94.23,1.96,0,0.98,0.98,0,0,0,46.13,0.98,0.98,2.94,40.24,0.98,0,0,0,15.7,0,3.93,1.96,0,15.7,0,0,5.89,0,0
 72-82,0,0,0,0,3.93,0.98,100.13,2.94,0,2.94,174.74,3.93,0,0,4.91,0,0,0,67.73,0,0.98,7.85,41.23,0.98,1.96,0,0,12.76,0,4.91,0.98,0,23.56,0,2.94,11.78,0.98,0.98
 84-94,0,0,1.06,0,4.25,0,91.34,4.25,2.12,1.06,131.69,3.19,0,1.06,3.19,1.06,0,0,29.74,0,1.06,9.56,20.18,2.12,1.06,1.06,0,25.49,0,24.43,1.06,0,14.87,2.12,0,8.5,1.06,0
 96-106,0,0,1.09,0,6.56,1.09,101.63,4.37,1.09,1.09,143.16,14.21,1.09,2.19,3.28,2.19,0,0,48.09,0,1.09,7.65,36.06,0,7.65,4.37,0,20.76,0,15.3,4.37,0,20.76,2.19,0,12.02,1.09,0
108-118,0,0,0,0,9.96,0.77,100.34,4.6,3.83,0,118.72,14.55,0,3.06,5.36,1.53,0.77,0.77,40.6,1.53,1.53,16.09,31.4,2.3,2.3,3.83,0,20.68,0,18.38,3.83,0,16.85,6.13,0,16.09,1.53,0
120,0,0,0,0,15.68,0,56.83,5.88,5.88,0,131.31,11.76,0,0,5.88,1.96,1.96,0,15.68,0,0,13.72,31.36,1.96,1.96,1.96,0,19.6,0,25.48,1.96,0,5.88,1.96,0,7.84,3.92,1.96
