stage,epidermis,eye,fast.muscle,glial,immune,mesenchyme,muscle,neural,olfactory,otic,spinal.cord,vasculature,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,2,1,0
 24-34,0.82,0,0,0,0,1.64,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0.57,0,0.57,0.57,0,0,2.87,0,0,0,0,0
 60-70,0,1.96,0,0,0,0.98,0,4.91,0,0,0.98,0,0
 72-82,0,0.98,0.98,0,0,2.94,0.98,1.96,0.98,0,0,0,0
 84-94,1.06,1.06,0,0,0,1.06,0,3.19,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,1.09,0,1.09,0,1.09,0,0,0
108-118,0,1.53,0.77,0,0,0,0,6.89,0,0,0,0,0
