stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,47.32,7.89,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,44.06,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,1,0,0,0,0,0,5,0,0,2,22,0,0,0,0,0,3,6,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0.82,0,0,0,4.1,0,0,0.82,39.4,0,0,0.82,0,0,0.82,12.31,0,3.28,0,0
 36-46,0,0,0,0,0,8.86,0,0,3.22,0,0,0,0,0.81,12.09,0,1.61,1.61,45.12,0,1.61,0,0,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,1.15,0,14.92,0,0,2.87,0,0,0,0,0,16.07,0,1.15,1.15,37.87,0,0.57,0.57,0,0,0,6.89,0.57,2.87,0,0
 60-70,0,0,0,0.98,0,22.58,0,0,5.89,0,0,0,0.98,0.98,15.7,0,0.98,2.94,30.43,0.98,0.98,0.98,0,0,0,4.91,0.98,3.93,0,0
 72-82,0,0,0,1.96,0,45.16,0,0,9.82,0,0,0,0,0.98,24.54,0,0.98,2.94,41.23,0,0.98,1.96,0,1.96,0,0.98,1.96,1.96,0,0.98
 84-94,0,0,0,0,0,25.49,0,0,6.37,0,0,0,0,0,14.87,0,2.12,2.12,28.68,1.06,0,2.12,0,0,0,0,1.06,3.19,0,0
 96-106,0,0,0,1.09,1.09,25.14,0,0,10.93,0,0,2.19,0,3.28,19.67,0,3.28,2.19,18.58,0,5.46,3.28,0,2.19,0,1.09,3.28,2.19,0,1.09
108-118,0,0,0,0.77,0,16.85,0.77,0.77,8.43,0.77,0.77,0.77,0,0,14.55,0.77,1.53,0,24.51,0.77,0,0,0,0.77,0,0.77,0.77,5.36,0.77,0
120,0,0,0,1.96,0,45.08,1.96,0,11.76,0,0,0,0,0,17.64,0,0,1.96,48.99,0,3.92,7.84,0,0,0,0,0,0,0,0
