stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,1,12,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0.82,78.8,0,0.82,0,0,0,0,19.7,0,0,1.64
 36-46,0,2.42,0,4.03,0,0,0,0,0,1.61,204.64,0.81,0,0,0,0,0,53.98,0,0,0.81
 48-58,0,1.15,0,9.18,0,1.72,0,0,0,2.3,274.28,0.57,0,0,0,0,0,41.31,0,0,0
 60-70,0,0,0,29.45,0,3.93,0,0,0,3.93,433.83,0,0,0,0,0,0,53,0,0,0.98
 72-82,0,3.93,0.98,55.95,0.98,1.96,0,0,0,3.93,433.89,0.98,0,0.98,0,0,0,37.3,0,0,0
 84-94,0,3.19,0,49.92,0,8.5,0,0,0,0,217.72,0,1.06,1.06,0,0,0,16.99,0,0,1.06
 96-106,0,0,0,25.14,1.09,1.09,0,1.09,1.09,3.28,161.74,1.09,0,0,0,0,0,10.93,0,0,0
108-118,0,2.3,0,24.51,0,3.06,1.53,0,0,1.53,191.49,0,0.77,0,0,0,0,8.43,0.77,0.77,0.77
120,0,0,0,21.56,0,1.96,1.96,0,0,9.8,164.62,1.96,0,0,0,0,0,1.96,0,0,0
