stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,224.02,2872.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0
  5-6,147.11,2335.39,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,122.59,6.13,0,18.39,30.65,0,0,0,0,0,0,0
  7-9,28.92,34.17,81.49,0,94.63,0,0,42.06,0,0,0,0,0,0,0,1101.43,55.2,0,470.54,2.63,15.77,0,0,0,0,0,0
 10-12,0,9.44,18.88,0,47.2,0,0,15.73,0,0,0,0,0,0,0,195.11,9.44,0,84.97,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,2,0,0,5,6,0,0,2,0,0,4,1,3,8,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
