stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,1.64,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,6.45,0,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,1.15,0,2.87,0,4.59,0,0,0,0,1.15,0,0,0,1.15,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,0,0,5.89,0,13.74,0,5.89,0,0,0,0,1.96,0,0,0,12.76,0,13.74
 72-82,0,0,0,4.91,4.91,0,0,0.98,0,0,0,5.89,0,9.82,1.96,7.85,0,0,0,0,0,0,0,0,14.72,0,49.08
 84-94,0,1.06,0,4.25,1.06,0,0,0,0,0,1.06,2.12,0,9.56,2.12,3.19,0,0,0,1.06,2.12,0,0,0,11.68,0,60.54
 96-106,0,1.09,1.09,8.74,2.19,0,0,0,0,0,0,1.09,0,5.46,3.28,5.46,0,0,2.19,0,3.28,0,0,1.09,15.3,1.09,81.96
108-118,0,0.77,0,13.02,0,0.77,0,0,0.77,0.77,0,5.36,0.77,3.83,1.53,6.89,0.77,0,0,0,4.6,0,0,0,13.79,0.77,53.62
120,0,3.92,0,5.88,1.96,0,0,0,1.96,0,0,3.92,0,1.96,0,9.8,0,0,0,1.96,5.88,0,0,0,9.8,0,47.03
