stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,8,2,0,6,0,0,0,0,0,0,0,0,3,0,0,5,46,0,0,1,2,0,7,5,0,2,20,0,0,0,0,0
 24-34,0,0.82,1.64,1.64,0,10.67,0,0,0.82,0,0,0.82,0,0,9.03,0,0,0.82,96.04,0.82,0,2.46,0,0,8.21,0,0,0,15.6,0,0,0.82,0,0.82
 36-46,0,0.81,0.81,0.81,0,13.7,0,0,4.83,0,0,0,0,0,9.67,0,0.81,0.81,57.2,0,2.42,0,0,0,0.81,0,0,0,17.72,0,0,0.81,0,1.61
 48-58,0,0,2.3,0,0,39.02,0,0.57,4.02,0,0,0,0,0,10.33,0.57,1.72,2.3,87.22,0,0,0,0,0,2.3,0,0,0,13.77,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,0,33.37,0.98,0,2.94,0,0,0,0.98,0.98,22.58,0,2.94,0,41.22,0,0,0.98,0,0,1.96,0,0,0,6.87,0,0,0.98,0,0
 72-82,0.98,0,1.96,0,0,19.63,0,0,7.85,0.98,0,0,0.98,0,26.5,0.98,0,2.94,49.08,0,2.94,1.96,0,0,0,0,0,0,1.96,0,0,3.93,0,0
 84-94,0,0,4.25,0,0,10.62,0,1.06,5.31,1.06,0,1.06,0,0,19.12,0,2.12,1.06,18.05,0,0,0,0,0,2.12,0,0,0,1.06,1.06,1.06,3.19,0,1.06
 96-106,0,0,4.37,0,1.09,9.84,0,0,2.19,0,1.09,0,0,0,5.46,0,0,0,25.14,1.09,0,0,0,0,3.28,0,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0,2.3,0.77,0,7.66,0,0,5.36,0,1.53,0,0,0,6.89,0,0,0.77,25.28,0.77,0.77,0.77,0,0,2.3,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,15.68,0,0,1.96,0,0,0,0,0,1.96,0,0,0,15.68,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
