stage,epidermis,eye,fin_epithelia,glial,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0.81,0,0,0,1.61
 48-58,0,0,0,0,0,1.15,1.72,0,0,0,0.57
 60-70,0,1.96,0,0,0,0,0.98,0,0.98,0,1.96
 72-82,0,0,0,0,0,0.98,0.98,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,0,4.25
 96-106,1.09,0,0,1.09,1.09,0,1.09,1.09,0,0,6.56
108-118,0,0,0,0,0.77,0,0.77,0,0,0,4.6
120,1.96,0,0,0,0,0,0,0,0,0,7.84
