stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,36.8,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,0,0
 14-21,0,2,4,0,0,0,0,0,0,1,0,0,21,1,0,0,0,0,1,9,0
 24-34,0,0,0,0,2.46,0,0,0.82,0,3.28,0.82,1.64,29.55,0,0,0.82,0,0.82,0,9.85,0.82
 36-46,0,0,0,0.81,6.45,0.81,0,0,0,2.42,0,0,24.98,0,0,0,0,0,0,12.09,0.81
 48-58,0,0,0.57,0,6.89,0,0,1.15,0.57,1.15,0,0.57,6.89,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,3.93,0,0.98,1.96,0,4.91,1.96,0,9.82,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0.98,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,5.46,0,0,0,0,0,0,0,3.28,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0.77,0,3.06,0,0,2.3,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
