stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,6,0,6,0,0,0,2,0,0,0,0,33,0,0,0,11,1,0,4,41,2,1,0,0,2,0,10,2,1,7,13,0,0,1,0,0
 24-34,0,0,0,0.82,11.49,0.82,0,7.39,0,0.82,0.82,1.64,0,0,1.64,5.75,59.1,0.82,0,0,13.13,4.1,0,4.1,76.34,1.64,1.64,1.64,0,11.49,0.82,0,0,0.82,0.82,13.13,0,0,0.82,0,0
 36-46,0,0,0,0,11.28,0,0,17.72,0,0,0,12.89,0,0,0,8.86,31.42,0,0,0,13.7,3.22,0,0.81,57.2,0,4.03,0.81,0,7.25,0,0,0,0,0,12.89,0,0,2.42,0,0
 48-58,0,0,0,0,14.35,0,0,22.38,0,6.89,0,48.77,0,0,0,9.75,16.64,0.57,0,0,9.18,1.72,0,2.87,33.28,0,0,0.57,0,7.46,0,0,0,0,0,8.61,0,0,0.57,0,1.15
 60-70,0,0,0,0,23.56,0.98,0,17.67,0.98,5.89,1.96,77.54,1.96,0,0,12.76,19.63,0,1.96,0,10.8,1.96,0,0,33.37,0,0.98,0.98,0,7.85,0,0,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,2.94,0,51.05,0.98,0,31.41,0,6.87,0.98,103.07,0,0,0,30.43,42.21,2.94,0,0.98,14.72,0.98,0,0,33.38,0,0.98,0.98,0,6.87,0,0,0.98,0,0,0.98,1.96,0.98,4.91,0,0.98
 84-94,0,0,0,0,90.27,3.19,0,42.48,0,15.93,0,54.16,0,0,0,56.29,66.91,1.06,1.06,0,19.12,3.19,0,1.06,26.55,0,2.12,3.19,0,24.43,0,0,0,0,0,2.12,2.12,0,2.12,1.06,1.06
 96-106,0,0,0,0,120.21,4.37,0,30.6,0,14.21,1.09,71.04,3.28,0,0,62.29,57.92,1.09,2.19,0,17.49,3.28,0,0,25.14,1.09,2.19,1.09,0,24.04,0,0,0,0,0,0,3.28,1.09,2.19,0,1.09
108-118,0,0,0.77,0,118.72,2.3,0.77,37.53,0.77,29.11,1.53,71.23,3.06,0,0,50.55,56.68,0.77,0.77,1.53,10.72,2.3,0.77,2.3,19.15,0,1.53,1.53,0,13.79,0,0,1.53,0.77,0,0.77,1.53,0,4.6,0,0.77
120,0,0,0,0,145.02,1.96,0,13.72,0,25.48,0,76.43,1.96,0,0,78.39,25.48,0,0,0,11.76,0,0,0,23.52,0,0,3.92,0,11.76,0,0,0,1.96,0,0,3.92,0,1.96,0,0
