stage,axial,blastomeres,epidermis,eye,fin.epithelia,gut,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,0,0,9.44,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,1.64,0,11.49,223.27,0,0,0,0,7.39,0.82
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,7.25,224.78,0,0,0.81,0,0.81,0
 48-58,0,0,0,1.72,0,0,0,0,1.72,0,4.59,138.29,0,0,0,0,1.15,0.57
 60-70,0.98,0,0,0,0.98,0,0,0,1.96,0,1.96,85.39,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,2.94,0.98,0.98,45.16,0.98,0,0,0,0,0
 84-94,1.06,0,0,0,0,0,0,1.06,6.37,0,0,67.97,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,2.19,0,0,17.49,0,0,2.19,0,0,2.19
108-118,0,0,0,0.77,0,0,0.77,9.96,4.6,0,0.77,9.19,0,0,0,0,0,1.53
120,0,0,0,0,0,1.96,0,3.92,0,0,1.96,9.8,0,0,0,0,0,0
