stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,4,0
 24-34,0.82,0.82,0.82,4.1,1.64,0,0,0.82,0.82,0,0,0,4.1,0,1.64,12.31,0,0,0,0,0,0,5.75,0,0,3.28,0
 36-46,0.81,0.81,0,0.81,0,0.81,0,0.81,0.81,0,0,0,2.42,0,0.81,22.56,0,0,0,0,0,0,3.22,0,0,1.61,0
 48-58,0.57,0.57,0,7.46,0,4.59,1.72,0,0,0,0,0,6.31,0,1.72,49.92,0,0,0,1.15,0,0,9.18,0,0,0.57,0
 60-70,0.98,1.96,0,29.45,0,1.96,0.98,0,0,0,1.96,0,4.91,0,0,124.65,0,0,0,0.98,0,0.98,23.56,0,0,0.98,0.98
 72-82,0.98,6.87,0,118.78,0,0.98,5.89,1.96,0.98,0,2.94,0,19.63,0,0.98,198.3,0,0,0.98,1.96,0.98,0,20.61,0,0,0.98,1.96
 84-94,2.12,5.31,1.06,72.22,2.12,2.12,9.56,2.12,0,1.06,3.19,1.06,15.93,0,1.06,107.27,0,0,1.06,1.06,0,0,11.68,1.06,1.06,0,0
 96-106,2.19,4.37,0,78.68,3.28,1.09,6.56,1.09,0,1.09,1.09,0,27.32,0,0,98.36,1.09,1.09,0,3.28,0,0,5.46,0,0,0,0
108-118,3.83,0.77,0,62.04,3.06,0.77,9.19,1.53,0,0.77,1.53,0,27.57,0.77,0,121.02,0,1.53,0.77,3.06,0,0,1.53,0.77,0,0,0.77
120,0,7.84,0,56.83,5.88,0,3.92,1.96,0,0,0,0,19.6,0,1.96,148.94,0,1.96,0,0,0,0,9.8,0,0,1.96,1.96
