stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,18.4,2.63,0,0,10.51,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,0,0,0,0,50.35,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,3.28,0,0.82,0,0,0,0,0.82,14.78,0,0.82,0,0,0,0,0.82,6.57,0,0,0
 36-46,0,0,6.45,0,2.42,0,0,0.81,4.83,1.61,31.42,0,1.61,0,0,0,0,0,9.67,0,0.81,0
 48-58,0,0.57,9.18,0.57,2.87,0,0,0,2.3,0,25.82,0,2.87,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,17.67,0,3.93,0,0,0,5.89,0,26.5,0,3.93,0,0,0,0,0,6.87,0.98,0,0
 72-82,0,0,7.85,0,4.91,0,0,0,8.83,0,22.58,0,1.96,0,0,0,0,0,1.96,0.98,0,0.98
 84-94,0,1.06,3.19,0,3.19,0,0,0,6.37,0,12.74,0,0,0,0,0,0,0,3.19,0,0,0
 96-106,0,0,5.46,0,0,0,1.09,0,2.19,0,10.93,0,2.19,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,5.36,0,2.3,0,0,0,0,0,6.89,0,0.77,0,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0
