stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,19,284,74,0,261,0,0,0,26,9,92,0,5,15,0,0,2,8,119,0,0,92,1696,50,5,24,55,0,56,1,110,18,1,136,601,0,0,10,0,3
 24-34,0.82,18.06,69.77,8.21,0,322.6,0.82,1.64,4.1,36.12,3.28,5.75,5.75,16.42,13.95,3.28,3.28,5.75,10.67,162.53,5.75,1.64,68.95,2111.24,19.7,12.31,25.45,0,0,94.4,0,0,9.03,0,19.7,454.75,0,0,44.33,0,4.1
 36-46,0.81,1.61,33.03,1.61,0,434.26,0,3.22,3.22,52.37,4.03,0.81,5.64,8.86,0.81,1.61,4.03,3.22,2.42,176.44,6.45,4.03,37.87,1589.59,8.86,12.09,11.28,0,0,66.87,0.81,0,3.22,0,0,365.77,0,0.81,24.17,0,4.03
 48-58,0,2.87,30.99,1.15,0,503.8,1.15,2.3,8.03,98.12,2.87,0,6.89,13.77,1.15,2.3,2.3,3.44,1.15,222.06,8.03,7.46,44.76,1051.78,5.16,8.03,9.75,0,0,33.28,0,0,1.72,0.57,0,220.91,0,0,31.56,0.57,3.44
 60-70,1.96,0,47.11,2.94,0,473.09,0,3.93,10.8,105.02,5.89,0.98,5.89,9.82,2.94,1.96,3.93,4.91,0.98,217.9,1.96,8.83,30.43,799.94,1.96,2.94,10.8,0,2.94,22.58,0,0,3.93,0,0,130.54,1.96,5.89,22.58,2.94,3.93
 72-82,1.96,0,48.1,13.74,0.98,351.43,0,0,11.78,151.18,23.56,0.98,4.91,21.6,3.93,1.96,4.91,5.89,0,327.88,12.76,11.78,34.36,779.44,3.93,2.94,21.6,0,1.96,47.12,0,0,1.96,0,0,54.97,2.94,11.78,38.28,7.85,1.96
 84-94,1.06,0,88.15,21.24,9.56,267.63,2.12,11.68,11.68,95.58,26.55,1.06,3.19,31.86,9.56,6.37,6.37,7.43,1.06,214.53,7.43,11.68,27.61,469.42,3.19,7.43,16.99,1.06,3.19,129.57,1.06,0,6.37,0,0,45.67,4.25,5.31,40.36,3.19,2.12
 96-106,2.19,0,78.68,19.67,4.37,181.41,1.09,10.93,6.56,96.17,37.16,0,7.65,37.16,12.02,2.19,14.21,14.21,1.09,206.55,9.84,8.74,15.3,390.15,8.74,15.3,20.76,0,1.09,109.28,0,0,3.28,0,0,24.04,1.09,4.37,43.71,7.65,0
108-118,1.53,0.77,79.66,16.09,9.96,166.98,1.53,9.19,8.43,88.09,45.96,0,2.3,33.7,15.32,6.89,6.89,9.19,0,175.41,6.89,2.3,21.45,500.94,6.89,6.13,9.96,0,3.06,80.43,0,0,7.66,0,0,16.85,2.3,3.06,27.57,7.66,2.3
120,1.96,0,84.27,15.68,0,186.18,0,11.76,3.92,96.03,43.12,0,1.96,33.32,3.92,1.96,3.92,17.64,0,117.59,11.76,13.72,11.76,446.83,11.76,13.72,17.64,0,3.92,76.43,1.96,0,0,0,0,19.6,1.96,3.92,25.48,0,3.92
