stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,105,2,0,1,9,0,1,19,3,90,968,56,0,0,0,0,1
 24-34,0,0,0,0,7.39,0,0,12.31,161.71,3.28,0,2.46,0,0,0,0.82,0,0,0,1.64,9.03,0,0,38.58,140.37,1.64,0,1.64,0,0,5.75,0,0,137.9,471.17,46.79,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,7.25,277.15,0,0,2.42,0,0,0,0,0,0,0,0,8.86,0,0,34.64,78.96,0,0.81,0.81,0,0,3.22,0,0.81,155.49,24.17,38.67,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,0,29.26,359.78,0.57,2.87,6.31,0,0,0,0,0,0,1.15,0,17.79,1.15,0.57,51.07,90.09,0.57,0.57,1.15,0,0,1.72,0,0.57,153.21,0.57,29.26,0,0,2.3,0,2.87
 60-70,0,0,0,0,1.96,0,0,24.54,240.47,0,0.98,8.83,0.98,0.98,0,0,1.96,0,0,0,8.83,0.98,0.98,59.87,68.71,0,0,1.96,0,0,5.89,0.98,0.98,99.13,0,6.87,0,0,0,0,2.94
 72-82,0,0,0.98,0,4.91,1.96,0,31.41,178.66,0,0,6.87,0,0,0,0,0,1.96,0,0,24.54,0.98,0.98,57.92,64.79,0,0,1.96,0,0,1.96,0,0,55.95,0,3.93,1.96,0,2.94,0,2.94
 84-94,0,0,0,0,1.06,2.12,0,13.81,304.8,1.06,0,10.62,1.06,0,5.31,0,1.06,0,2.12,1.06,18.05,0,0,60.54,32.92,0,1.06,0,0,0,8.5,0,0,114.7,0,5.31,0,1.06,2.12,0,1.06
 96-106,0,0,0,0,4.37,7.65,2.19,28.41,502.71,0,1.09,10.93,2.19,0,6.56,0,0,0,2.19,1.09,43.71,1.09,2.19,77.59,54.64,0,2.19,1.09,0,0,9.84,0,1.09,119.12,0,4.37,0,1.09,2.19,1.09,0
108-118,0,0,0,0,2.3,2.3,0.77,16.09,385.28,2.3,0,6.13,0.77,0,2.3,0.77,0.77,0,2.3,5.36,22.21,1.53,0,101.87,45.19,0,0,1.53,0,0,6.13,0,0,108,0,0.77,0,0,1.53,0,0.77
120,0,0,1.96,0,0,1.96,0,9.8,207.74,0,0,5.88,0,1.96,1.96,0,0,0,1.96,1.96,17.64,0,0,101.91,29.4,1.96,1.96,0,0,3.92,1.96,1.96,0,35.28,0,0,0,0,0,0,0
