stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,7,4,0,1,0,0,0,2,1,1,0,1,0,0,0,0,6,0,0,3,242,2,5,4,3,0,0,0,12,1,0,7,189,0,0,1,0,0
 24-34,0.82,0,3.28,0.82,4.1,0,0,16.42,0,1.64,1.64,4.93,0,0,0,0,0,0,0,1.64,29.55,0,0,9.85,1138.53,2.46,29.55,4.1,0,0,0.82,0,0,0,0,9.03,293.05,0,0,6.57,0,0
 36-46,0.81,0,0.81,0,4.03,0,0,138.58,0,0,2.42,22.56,0,4.03,0.81,0,0,0.81,0,0,55.59,0,0.81,12.89,3061.54,2.42,38.67,1.61,0,0,1.61,0,0,0,0,0,590.56,0,0,4.83,0,1.61
 48-58,0,0,0.57,0,8.03,0.57,0,453.88,1.15,2.3,1.15,52.22,0,1.72,0.57,0,0,0,0,1.72,72.3,1.72,1.72,5.74,3023.38,0.57,17.79,0.57,0,0,0.57,0,0,0.57,0,0,544.54,0,0,4.59,0,1.72
 60-70,0,0,2.94,0,9.82,0,0,1315.24,0.98,0,2.94,81.47,0,3.93,5.89,0.98,0.98,2.94,0,0.98,113.86,0,0.98,11.78,4651.43,1.96,21.59,1.96,0,0,3.93,0,0,0.98,0,0,600.69,0,0.98,4.91,0,6.87
 72-82,0,0,6.87,0,12.76,0,0,1349.79,0,0,3.93,106.02,1.96,1.96,8.83,1.96,3.93,0,0,0,164.92,0,1.96,15.71,3173.71,0,33.38,3.93,0,0.98,2.94,0,0,0.98,0,0,265.05,0,3.93,14.72,5.89,1.96
 84-94,0,0,4.25,0,23.36,1.06,0,786.97,0,0,3.19,90.27,4.25,4.25,8.5,0,1.06,0,0,0,117.89,0,6.37,9.56,1505.97,1.06,15.93,2.12,0,0,2.12,0,0,2.12,1.06,0,133.82,4.25,2.12,10.62,8.5,1.06
 96-106,0,0,2.19,0,27.32,2.19,0,478.67,1.09,2.19,3.28,65.57,2.19,2.19,12.02,0,3.28,3.28,2.19,1.09,69.94,0,3.28,4.37,1065.53,0,22.95,4.37,0,1.09,0,1.09,0,0,0,0,50.27,1.09,0,9.84,8.74,0
108-118,0,0,2.3,0,20.68,2.3,0,399.83,0,2.3,2.3,44.43,1.53,0,2.3,0,0.77,0.77,0.77,0.77,81.19,0,1.53,6.89,1295.24,1.53,19.92,3.06,0,0.77,5.36,0,0,0.77,0,0,43.66,3.06,1.53,10.72,2.3,0.77
120,0,0,0,0,13.72,3.92,1.96,321.4,0,1.96,0,35.28,3.92,1.96,5.88,3.92,0,0,0,1.96,33.32,3.92,1.96,9.8,1318.94,1.96,11.76,1.96,0,0,3.92,0,0,0,0,0,43.12,1.96,1.96,7.84,0,1.96
